m,trajs
1,"[(4, 1, 5), (5, 1, 15), (15, 1, 16), (16, 3, 15), (15, 1, 14), (14, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 24), (24, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 76)]"
2,"[(2, 4, 1), (1, 4, 2), (2, 4, 3), (3, 4, 3), (3, 4, 3), (3, 4, 3), (3, 4, 13), (13, 4, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 86), (86, 4, 87)]"
3,"[(6, 3, 7), (7, 3, 6), (6, 3, 7), (7, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 16), (16, 3, 15), (15, 1, 25), (25, 1, 35), (35, 1, 35), (35, 1, 45), (45, 1, 35), (35, 1, 35), (35, 1, 45), (45, 1, 46), (46, 1, 56), (56, 1, 55), (55, 1, 65), (65, 1, 66)]"
4,"[(9, 3, 8), (8, 3, 18), (18, 3, 17), (17, 3, 17), (17, 3, 27), (27, 3, 26), (26, 3, 26), (26, 3, 16), (16, 3, 17), (17, 3, 17), (17, 3, 27), (27, 3, 17), (17, 3, 7), (7, 3, 6), (6, 3, 16), (16, 3, 15), (15, 1, 25), (25, 1, 35), (35, 1, 34), (34, 1, 24)]"
5,"[(4, 1, 14), (14, 1, 24), (24, 1, 23), (23, 4, 23), (23, 4, 22), (22, 4, 32), (32, 2, 22), (22, 4, 23), (23, 4, 24), (24, 1, 34), (34, 1, 44), (44, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 85), (85, 4, 86), (86, 4, 87), (87, 0, 87), (87, 0, 87)]"
6,"[(7, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 25), (25, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 25), (25, 1, 26), (26, 3, 27), (27, 3, 26), (26, 3, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76)]"
7,"[(6, 3, 6), (6, 3, 7), (7, 3, 7), (7, 3, 17), (17, 3, 18), (18, 3, 28), (28, 3, 27), (27, 3, 26), (26, 3, 25), (25, 1, 35), (35, 1, 45), (45, 1, 46), (46, 1, 46), (46, 1, 46), (46, 1, 56), (56, 1, 57), (57, 1, 67), (67, 1, 77), (77, 1, 78), (78, 1, 77)]"
8,"[(2, 4, 3), (3, 4, 13), (13, 4, 14), (14, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 76), (76, 1, 77), (77, 1, 87), (87, 0, 97), (97, 2, 87), (87, 0, 97), (97, 2, 87), (87, 0, 88), (88, 3, 87), (87, 0, 87)]"
9,"[(5, 1, 6), (6, 3, 5), (5, 1, 15), (15, 1, 25), (25, 1, 26), (26, 3, 25), (25, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 96), (96, 2, 96), (96, 2, 86)]"
10,"[(0, 4, 10), (10, 2, 11), (11, 4, 10), (10, 2, 0), (0, 4, 1), (1, 4, 0), (0, 4, 1), (1, 4, 2), (2, 4, 3), (3, 4, 4), (4, 1, 14), (14, 1, 24), (24, 1, 14), (14, 1, 13), (13, 4, 23), (23, 4, 13), (13, 4, 14), (14, 1, 13), (13, 4, 14), (14, 1, 24)]"
11,"[(0, 4, 1), (1, 4, 2), (2, 4, 3), (3, 4, 2), (2, 4, 2), (2, 4, 2), (2, 4, 3), (3, 4, 4), (4, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 54), (54, 1, 64), (64, 1, 54), (54, 1, 64), (64, 1, 54), (54, 1, 54), (54, 1, 64)]"
12,"[(7, 3, 6), (6, 3, 5), (5, 1, 4), (4, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 54), (54, 1, 64), (64, 1, 64), (64, 1, 64), (64, 1, 74), (74, 4, 84), (84, 4, 85), (85, 4, 86), (86, 4, 76), (76, 1, 66), (66, 1, 76)]"
13,"[(9, 3, 8), (8, 3, 7), (7, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 56), (56, 1, 56), (56, 1, 55), (55, 1, 65), (65, 1, 66), (66, 1, 66), (66, 1, 76), (76, 1, 76), (76, 1, 86), (86, 4, 76), (76, 1, 86)]"
14,"[(6, 3, 5), (5, 1, 15), (15, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 56), (56, 1, 66), (66, 1, 56), (56, 1, 46), (46, 1, 56), (56, 1, 66), (66, 1, 76), (76, 1, 86), (86, 4, 96), (96, 2, 97), (97, 2, 97), (97, 2, 97), (97, 2, 97)]"
15,"[(8, 3, 7), (7, 3, 6), (6, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 25), (25, 1, 25), (25, 1, 26), (26, 3, 25), (25, 1, 26), (26, 3, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 76), (76, 1, 86), (86, 4, 85), (85, 4, 75)]"
16,"[(8, 3, 7), (7, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 5), (5, 1, 4), (4, 1, 14), (14, 1, 15), (15, 1, 15), (15, 1, 5), (5, 1, 6), (6, 3, 5), (5, 1, 15), (15, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 54)]"
17,"[(7, 3, 6), (6, 3, 16), (16, 3, 15), (15, 1, 25), (25, 1, 26), (26, 3, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 55), (55, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 87), (87, 0, 87), (87, 0, 87)]"
18,"[(8, 3, 8), (8, 3, 7), (7, 3, 6), (6, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 35), (35, 1, 45), (45, 1, 45), (45, 1, 55), (55, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 64), (64, 1, 74), (74, 4, 64), (64, 1, 65)]"
