,wifi_a,wifi_b,count,distance,meanTime,maxSpeed
0,22.0,88.0,1.0,202.54,14628.0,0.01384604867377632
1,88.0,99.0,1.0,147.2,7548.0,0.019501854795972443
2,99.0,22.0,1.0,64.39,212.0,0.3037264150943396
3,22.0,95.0,41.0,157.9,4.146341463414634,315.8
4,95.0,101.0,16.0,90.35,6.3125,15.058333333333332
5,101.0,22.0,6.0,174.47,3.0,58.156666666666666
6,95.0,5.0,23.0,39.38,6.565217391304348,9.845
7,5.0,101.0,14.0,82.63,0.5,165.26
8,5.0,22.0,29.0,121.22,2.3448275862068964,60.61
0,22.0,95.0,8.0,157.9,10.0,52.63333333333333
1,95.0,5.0,12.0,39.38,17.25,6.5633333333333335
2,5.0,22.0,2.0,121.22,20.0,11.02
3,5.0,49.0,3.0,73.03,20.0,3.6515
4,49.0,22.0,3.0,190.46,8.0,23.8075
0,95.0,5.0,649.0,39.38,6.4206471494607085,39.38
1,5.0,22.0,1571.0,121.22,7.910884786760025,121.22
2,22.0,95.0,1575.0,157.9,25.18984126984127,315.8
3,5.0,101.0,191.0,82.63,1.837696335078534,165.26
4,101.0,22.0,160.0,174.47,1.7875,348.94
5,95.0,101.0,103.0,90.35,2.2524271844660193,180.7
6,22.0,33.0,19.0,24.53,1.5789473684210527,49.06
7,33.0,95.0,25.0,153.3,1.8,306.6
8,101.0,13.0,6.0,151.73,1.0,303.46
9,13.0,22.0,22.0,223.94,2.1363636363636362,223.94
10,5.0,13.0,34.0,114.24,1.088235294117647,228.48
11,13.0,95.0,9.0,76.05,5.222222222222222,76.05
12,95.0,99.0,877.0,97.82,3.8015963511972632,97.82
13,99.0,5.0,1307.0,59.06,2.674062739097169,118.12
14,5.0,33.0,4.0,114.67,4.5,28.6675
15,5.0,84.0,31.0,58.5,4.32258064516129,29.25
16,84.0,22.0,5.0,146.05,4.0,292.1
17,95.0,84.0,85.0,76.73,1.8470588235294119,76.73
18,84.0,99.0,72.0,84.36,2.236111111111111,84.36
19,101.0,84.0,2.0,29.03,3.5,29.03
20,99.0,101.0,43.0,113.35,3.395348837209302,56.675
21,22.0,99.0,52.0,64.39,6.423076923076923,12.878
22,5.0,88.0,140.0,91.38,5.45,182.76
23,88.0,22.0,101.0,202.54,3.6633663366336635,202.54
24,95.0,88.0,513.0,53.3,1.3762183235867447,106.6
25,88.0,99.0,340.0,147.2,3.070588235294118,147.2
26,88.0,101.0,43.0,132.74,1.1162790697674418,265.48
27,88.0,84.0,26.0,126.06,0.6923076923076923,252.12
28,88.0,49.0,4.0,82.73,2.0,165.46
29,49.0,99.0,3.0,126.11,4.333333333333333,31.5275
30,95.0,49.0,25.0,55.08,2.32,110.16
31,49.0,84.0,1.0,60.58,1.0,60.58
32,22.0,120.0,3.0,86.98,1.3333333333333333,173.96
33,120.0,95.0,2.0,73.6,2.0,73.6
34,99.0,13.0,15.0,169.72,1.8,339.44
35,120.0,99.0,1.0,40.56,7.0,5.7942857142857145
36,22.0,49.0,27.0,190.46,1.1111111111111112,380.92
37,5.0,120.0,2.0,44.14,3.0,14.713333333333333
38,5.0,49.0,7.0,73.03,3.142857142857143,36.515
39,88.0,13.0,1.0,22.87,3.0,7.623333333333334
40,13.0,49.0,1.0,99.52,5.0,19.904
41,5.0,32.0,6.0,48.84,2907.5,48.84
42,99.0,32.0,4.0,27.73,1.0,27.73
0,49.0,22.0,163.0,190.46,12.049079754601227,380.92
1,22.0,95.0,415.0,157.9,7.212048192771085,315.8
2,95.0,5.0,546.0,39.38,85.08608058608058,19.69
3,95.0,49.0,138.0,55.08,5.971014492753623,110.16
4,5.0,49.0,226.0,73.03,9.20353982300885,73.03
5,5.0,22.0,344.0,121.22,19.938953488372093,40.406666666666666
6,22.0,99.0,80.0,64.39,21.7375,64.39
7,99.0,95.0,195.0,97.82,6.17948717948718,48.91
8,5.0,99.0,351.0,59.06,5.45014245014245,59.06
9,99.0,49.0,40.0,126.11,8.225,63.055
0,22.0,120.0,38.0,86.98,31.289473684210527,86.98
1,22.0,99.0,468.0,64.39,23.495726495726494,64.39
2,120.0,99.0,54.0,40.56,19.27777777777778,40.56
3,22.0,33.0,1.0,24.53,27.0,0.9085185185185186
4,33.0,99.0,3.0,55.62,19.333333333333332,9.27
0,22.0,33.0,24.0,24.53,47.916666666666664,24.53
1,22.0,99.0,161.0,64.39,49.4472049689441,16.0975
2,99.0,33.0,78.0,55.62,12.551282051282051,55.62
3,99.0,120.0,4.0,40.56,6.5,20.28
0,22.0,88.0,1.0,202.54,14628.0,0.01384604867377632
1,88.0,95.0,1.0,53.3,10556.0,0.005049261083743842
2,95.0,13.0,2.0,76.05,6.5,15.209999999999999
3,95.0,5.0,2.0,39.38,6.5,6.5633333333333335
0,95.0,5.0,875.0,39.38,54.225142857142856,19.69
1,95.0,13.0,216.0,76.05,5.717592592592593,38.025
2,5.0,22.0,488.0,121.22,3.262295081967213,121.22
3,22.0,95.0,1162.0,157.9,4.787435456110155,315.8
4,5.0,13.0,233.0,114.24,1.2360515021459229,228.48
5,13.0,22.0,89.0,223.94,2.606741573033708,447.88
6,5.0,88.0,326.0,91.38,6.567484662576687,182.76
7,88.0,13.0,31.0,22.87,4.580645161290323,11.435
8,95.0,88.0,527.0,53.3,2.713472485768501,106.6
9,88.0,22.0,73.0,202.54,7.0,202.54
10,95.0,49.0,12.0,55.08,0.75,110.16
11,49.0,22.0,12.0,190.46,3.5,380.92
12,95.0,99.0,12.0,97.82,4.333333333333333,48.91
13,99.0,5.0,10.0,59.06,2.3,59.06
14,99.0,13.0,1.0,169.72,3.0,56.57333333333333
15,88.0,99.0,1.0,147.2,3.0,49.06666666666666
0,95.0,49.0,14.0,55.08,77.57142857142857,110.16
1,95.0,5.0,80.0,39.38,121.8625,13.126666666666667
2,95.0,88.0,20.0,53.3,75.05,53.3
3,88.0,5.0,1.0,91.38,5.0,18.276
4,49.0,5.0,2.0,73.03,17.5,36.515
5,49.0,99.0,1.0,126.11,4.0,31.5275
6,99.0,5.0,1.0,59.06,3.0,19.686666666666667
7,95.0,92.0,4.0,156.67,1006.0,313.34
8,88.0,49.0,1.0,82.73,8.0,10.34125
0,95.0,5.0,1815.0,39.38,29.79559228650138,39.38
1,5.0,99.0,984.0,59.06,3.502032520325203,118.12
2,95.0,99.0,930.0,97.82,4.674193548387096,97.82
3,5.0,22.0,150.0,121.22,3.6666666666666665,121.22
4,22.0,95.0,163.0,157.9,4.171779141104294,315.8
5,95.0,88.0,80.0,53.3,2.55,106.6
6,88.0,99.0,44.0,147.2,3.3181818181818183,147.2
7,88.0,5.0,49.0,91.38,6.714285714285714,91.38
8,95.0,13.0,78.0,76.05,6.064102564102564,19.0125
9,5.0,13.0,78.0,114.24,1.7692307692307692,228.48
10,99.0,13.0,33.0,169.72,3.6666666666666665,339.44
11,22.0,99.0,27.0,64.39,6.962962962962963,12.878
12,13.0,22.0,4.0,223.94,3.75,111.97
13,88.0,13.0,3.0,22.87,3.0,11.435
0,95.0,5.0,91.0,39.38,703.054945054945,7.876
1,95.0,88.0,21.0,53.3,101.61904761904762,106.6
2,95.0,49.0,8.0,55.08,7.5,55.08
3,5.0,49.0,2.0,73.03,3.5,24.343333333333334
4,88.0,5.0,1.0,91.38,5.0,18.276
0,95.0,88.0,25.0,53.3,22.36,106.6
1,95.0,5.0,52.0,39.38,32.36538461538461,13.126666666666667
2,5.0,99.0,19.0,59.06,5.2631578947368425,59.06
3,5.0,33.0,3.0,114.67,10.0,28.6675
4,33.0,99.0,6.0,55.62,6.5,9.27
5,99.0,120.0,2.0,40.56,2.0,20.28
6,120.0,33.0,2.0,88.04,134.5,22.01
7,33.0,22.0,8.0,24.53,0.0,49.06
8,22.0,99.0,4.0,64.39,13.5,9.198571428571428
9,5.0,22.0,6.0,121.22,4.0,30.305
10,33.0,95.0,3.0,153.3,3.0,51.1
11,95.0,99.0,13.0,97.82,4.076923076923077,32.60666666666666
12,120.0,5.0,2.0,44.14,0.0,88.28
13,22.0,95.0,2.0,157.9,3.5,52.63333333333333
14,99.0,32.0,3.0,27.73,32.333333333333336,1.8486666666666667
15,32.0,33.0,1.0,74.92,4.0,18.73
16,32.0,22.0,2.0,88.88,4.0,22.22
17,88.0,99.0,8.0,147.2,4.0,49.06666666666666
18,22.0,49.0,1.0,190.46,0.0,380.92
19,49.0,88.0,4.0,82.73,4.0,20.6825
20,99.0,13.0,7.0,169.72,0.8571428571428571,339.44
21,13.0,32.0,1.0,163.03,1.0,163.03
22,32.0,5.0,1.0,48.84,0.0,97.68
23,22.0,88.0,1.0,202.54,4.0,50.635
24,13.0,5.0,13.0,114.24,1.0769230769230769,114.24
25,5.0,88.0,2.0,91.38,7.5,13.054285714285713
26,95.0,13.0,2.0,76.05,4.5,19.0125
27,33.0,13.0,1.0,223.7,1831.0,0.12217367558711086
28,5.0,49.0,12.0,73.03,4.666666666666667,24.343333333333334
29,49.0,95.0,10.0,55.08,4.5,18.36
30,13.0,49.0,1.0,99.52,4.0,24.88
31,88.0,92.0,1.0,149.17,1.0,149.17
32,92.0,13.0,2.0,154.36,4.0,38.59
33,88.0,13.0,1.0,22.87,5.0,4.574
34,95.0,92.0,1.0,156.67,1.0,156.67
0,49.0,95.0,47.0,55.08,1679.063829787234,110.16
1,49.0,5.0,18.0,73.03,43.333333333333336,36.515
2,5.0,95.0,60.0,39.38,27.6,7.876
3,5.0,88.0,9.0,91.38,34.111111111111114,91.38
4,49.0,88.0,6.0,82.73,12.0,165.46
5,88.0,95.0,10.0,53.3,55.9,8.883333333333333
6,49.0,99.0,1.0,126.11,16.0,7.881875
7,99.0,5.0,2.0,59.06,42.0,3.69125
8,95.0,92.0,1.0,156.67,66.0,2.3737878787878786
9,92.0,49.0,1.0,211.31,0.0,422.62
10,88.0,99.0,3.0,147.2,17.666666666666668,49.06666666666666
11,95.0,99.0,2.0,97.82,26.0,4.446363636363636
0,5.0,95.0,301.0,39.38,268.13953488372096,19.69
1,5.0,49.0,1.0,73.03,419.0,0.17429594272076374
2,49.0,95.0,1.0,55.08,435.0,0.1266206896551724
3,95.0,13.0,3.0,76.05,285.6666666666667,9.50625
4,13.0,88.0,11.0,22.87,43.90909090909091,11.435
5,95.0,88.0,3.0,53.3,5.333333333333333,17.766666666666666
0,95.0,88.0,54.0,53.3,175.0,106.6
1,88.0,92.0,2.0,149.17,39.0,6.485652173913043
2,95.0,92.0,2.0,156.67,6.5,78.335
3,95.0,49.0,4.0,55.08,6.5,13.77
0,49.0,95.0,138.0,55.08,37.17391304347826,110.16
1,49.0,5.0,48.0,73.03,38.0,73.03
2,95.0,5.0,14.0,39.38,4298.5,7.876
3,49.0,88.0,1.0,82.73,3.0,27.576666666666668
4,88.0,5.0,2.0,91.38,13.0,15.229999999999999
5,49.0,22.0,2.0,190.46,10.0,63.48666666666667
6,22.0,5.0,2.0,121.22,8.5,15.1525
0,5.0,95.0,61.0,39.38,188.9016393442623,7.876
1,95.0,99.0,4.0,97.82,181.0,1.4176811594202898
2,99.0,5.0,4.0,59.06,135.5,19.686666666666667
3,95.0,22.0,2.0,157.9,182.5,1.23359375
0,5.0,99.0,98.0,59.06,685.6020408163265,118.12
1,5.0,95.0,7.0,39.38,59.0,6.5633333333333335
2,95.0,99.0,4.0,97.82,10.0,32.60666666666666
3,5.0,22.0,3.0,121.22,3.0,40.406666666666666
4,22.0,95.0,3.0,157.9,2.3333333333333335,78.95
0,32.0,22.0,72.0,88.88,870.5277777777778,177.76
1,22.0,5.0,55.0,121.22,24.072727272727274,121.22
2,5.0,32.0,155.0,48.84,27.309677419354838,97.68
3,32.0,95.0,50.0,87.51,53.06,43.755
4,5.0,95.0,25.0,39.38,27.88,7.876
5,22.0,99.0,6.0,64.39,19.5,10.731666666666667
6,99.0,5.0,16.0,59.06,27.5625,29.53
7,5.0,120.0,14.0,44.14,20.642857142857142,88.28
8,120.0,32.0,19.0,54.21,32.05263157894737,108.42
9,95.0,22.0,22.0,157.9,19.954545454545453,78.95
10,32.0,88.0,19.0,140.16,51.0,35.04
11,88.0,95.0,8.0,53.3,17.125,106.6
12,22.0,120.0,8.0,86.98,20.25,28.993333333333336
13,32.0,99.0,19.0,27.73,42.526315789473685,27.73
14,22.0,88.0,3.0,202.54,28.333333333333332,40.507999999999996
15,88.0,99.0,3.0,147.2,5.666666666666667,73.6
16,95.0,99.0,5.0,97.82,24.8,32.60666666666666
17,120.0,95.0,5.0,73.6,27.4,9.2
18,32.0,13.0,4.0,163.03,32.5,12.54076923076923
19,99.0,13.0,1.0,169.72,1.0,169.72
20,13.0,5.0,1.0,114.24,1.0,114.24
21,95.0,13.0,1.0,76.05,5.0,15.209999999999999
22,88.0,13.0,1.0,22.87,5.0,4.574
23,99.0,120.0,2.0,40.56,1.0,40.56
24,88.0,5.0,6.0,91.38,26.5,13.054285714285713
0,13.0,95.0,31.0,76.05,274.61290322580646,25.349999999999998
1,13.0,5.0,8.0,114.24,41.75,228.48
2,5.0,95.0,4.0,39.38,283.0,6.5633333333333335
3,13.0,88.0,15.0,22.87,94.06666666666666,4.574
4,95.0,88.0,1.0,53.3,1.0,53.3
0,49.0,84.0,19.0,60.58,112.21052631578948,30.29
1,84.0,95.0,2.0,76.73,13.0,7.673
2,49.0,101.0,5.0,54.17,332.4,1.1525531914893616
3,101.0,95.0,2.0,90.35,39.0,2.5814285714285714
4,101.0,84.0,1.0,29.03,32.0,0.9071875
5,49.0,95.0,4.0,55.08,378.0,0.5296153846153846
0,49.0,84.0,14.0,60.58,57.642857142857146,121.16
1,49.0,95.0,5.0,55.08,463.6,1.4123076923076923
2,49.0,101.0,2.0,54.17,429.0,0.660609756097561
3,95.0,84.0,1.0,76.73,23590.0,0.003252649427723612
0,95.0,22.0,3.0,157.9,519.6666666666666,52.63333333333333
1,22.0,32.0,3.0,88.88,949.6666666666666,177.76
2,22.0,5.0,3.0,121.22,840.3333333333334,1.0101666666666667
3,5.0,32.0,2.0,48.84,46.0,16.28
4,32.0,95.0,2.0,87.51,22592.5,0.09299681190223168
5,95.0,5.0,4.0,39.38,596.0,5.625714285714286
6,5.0,99.0,5.0,59.06,815.6,14.765
7,99.0,120.0,2.0,40.56,2.0,20.28
8,120.0,22.0,2.0,86.98,4.5,21.745
9,22.0,99.0,1.0,64.39,6.0,10.731666666666667
10,32.0,99.0,2.0,27.73,187.0,0.5437254901960784
11,95.0,88.0,2.0,53.3,136.5,0.6922077922077922
0,95.0,5.0,494.0,39.38,23.072874493927124,13.126666666666667
1,95.0,88.0,16.0,53.3,24.75,26.65
2,95.0,49.0,6.0,55.08,17.333333333333332,55.08
3,88.0,5.0,2.0,91.38,11.5,18.276
0,22.0,5.0,3.0,121.22,261.3333333333333,40.406666666666666
1,22.0,120.0,65.0,86.98,955.3538461538461,86.98
2,120.0,99.0,40.0,40.56,94.375,40.56
3,99.0,22.0,56.0,64.39,192.625,12.878
4,99.0,5.0,2.0,59.06,6.5,19.686666666666667
5,120.0,5.0,1.0,44.14,1.0,44.14
6,99.0,33.0,2.0,55.62,7.0,9.27
0,13.0,88.0,37.0,22.87,30.405405405405407,22.87
1,88.0,95.0,32.0,53.3,327.84375,106.6
2,95.0,13.0,23.0,76.05,28.565217391304348,12.674999999999999
3,13.0,5.0,1.0,114.24,28.0,4.08
4,5.0,88.0,1.0,91.38,66137.0,0.0013816774271587764
0,49.0,101.0,3.0,54.17,114.0,18.05666666666667
1,101.0,5.0,1.0,82.63,46.0,1.796304347826087
2,5.0,95.0,1.0,39.38,7.0,5.625714285714286
0,99.0,22.0,5.0,64.39,150.0,9.198571428571428
1,22.0,120.0,1.0,86.98,568.0,0.15313380281690142
2,120.0,99.0,3.0,40.56,142.66666666666666,40.56
3,99.0,33.0,1.0,55.62,96.0,0.579375
4,33.0,22.0,15.0,24.53,31.133333333333333,49.06
5,33.0,5.0,2.0,114.67,6.5,38.223333333333336
0,84.0,33.0,1.0,130.17,1561.0,0.08338885329916719
1,33.0,22.0,4.0,24.53,130.0,49.06
2,33.0,120.0,1.0,88.04,515.0,0.17095145631067962
3,120.0,99.0,1.0,40.56,533.0,0.07609756097560975
4,99.0,5.0,4.0,59.06,6.5,19.686666666666667
0,5.0,99.0,21.0,59.06,7.619047619047619,29.53
1,5.0,88.0,3.0,91.38,10.666666666666666,15.229999999999999
2,5.0,84.0,21.0,58.5,15.619047619047619,117.0
3,84.0,22.0,2.0,146.05,2.0,73.025
4,22.0,88.0,1.0,202.54,3.0,67.51333333333334
5,88.0,95.0,2.0,53.3,2.5,26.65
6,95.0,5.0,9.0,39.38,6.222222222222222,9.845
7,95.0,99.0,3.0,97.82,2.6666666666666665,48.91
8,5.0,22.0,9.0,121.22,13.11111111111111,60.61
9,22.0,95.0,2.0,157.9,5.5,31.580000000000002
10,99.0,84.0,3.0,84.36,5.0,42.18
11,5.0,120.0,1.0,44.14,0.0,88.28
12,120.0,99.0,1.0,40.56,5739.0,0.007067433350757972
0,88.0,95.0,251.0,53.3,2.741035856573705,106.6
1,95.0,5.0,1770.0,39.38,7.01864406779661,78.76
2,5.0,22.0,500.0,121.22,4.48,60.61
3,22.0,88.0,47.0,202.54,2.6808510638297873,202.54
4,22.0,95.0,502.0,157.9,70.78685258964144,315.8
5,5.0,99.0,821.0,59.06,3.5188794153471377,118.12
6,22.0,99.0,35.0,64.39,6.714285714285714,64.39
7,5.0,88.0,147.0,91.38,7.122448979591836,18.276
8,95.0,99.0,871.0,97.82,3.2766934557979335,195.64
9,88.0,99.0,34.0,147.2,5.5,147.2
10,5.0,13.0,7.0,114.24,0.8571428571428571,228.48
11,13.0,22.0,8.0,223.94,2.375,111.97
12,95.0,13.0,4.0,76.05,5.75,15.209999999999999
13,13.0,99.0,1.0,169.72,11.0,15.42909090909091
0,5.0,99.0,383.0,59.06,6.328981723237598,59.06
1,5.0,49.0,229.0,73.03,12.314410480349345,146.06
2,49.0,22.0,85.0,190.46,15.764705882352942,63.48666666666667
3,22.0,95.0,462.0,157.9,6.406926406926407,315.8
4,95.0,99.0,252.0,97.82,11.857142857142858,97.82
5,99.0,49.0,110.0,126.11,14.863636363636363,252.22
6,5.0,95.0,477.0,39.38,11.375262054507338,78.76
7,5.0,22.0,523.0,121.22,5.24282982791587,60.61
8,95.0,49.0,255.0,55.08,13.525490196078431,110.16
9,22.0,99.0,71.0,64.39,9.154929577464788,16.0975
10,49.0,84.0,4.0,60.58,6.5,20.19333333333333
11,84.0,99.0,2.0,84.36,22.0,10.545
12,95.0,84.0,6.0,76.73,7.166666666666667,19.1825
13,84.0,5.0,3.0,58.5,26.333333333333332,2.34
14,22.0,84.0,1.0,146.05,9.0,16.227777777777778
0,95.0,5.0,361.0,39.38,12.875346260387811,13.126666666666667
1,5.0,49.0,262.0,73.03,13.16030534351145,146.06
2,49.0,95.0,491.0,55.08,16.380855397148675,55.08
3,95.0,88.0,12.0,53.3,37.5,53.3
4,88.0,99.0,1.0,147.2,43.0,3.4232558139534883
5,99.0,5.0,9.0,59.06,5.888888888888889,29.53
6,49.0,88.0,7.0,82.73,21.857142857142858,11.81857142857143
7,88.0,5.0,6.0,91.38,19.0,18.276
8,95.0,99.0,15.0,97.82,4.2,195.64
9,5.0,92.0,1.0,160.5,0.0,321.0
10,92.0,49.0,1.0,211.31,26.0,8.127307692307692
11,99.0,49.0,3.0,126.11,4.666666666666667,63.055
12,95.0,92.0,2.0,156.67,13.0,31.333999999999996
0,99.0,22.0,494.0,64.39,21.781376518218625,32.195
1,99.0,120.0,12.0,40.56,27.416666666666668,40.56
2,120.0,22.0,10.0,86.98,64.8,28.993333333333336
3,99.0,32.0,3.0,27.73,17.333333333333332,55.46
4,32.0,22.0,1.0,88.88,6.0,14.813333333333333
0,88.0,95.0,265.0,53.3,9.773584905660377,106.6
1,88.0,13.0,595.0,22.87,10.374789915966387,22.87
2,95.0,13.0,141.0,76.05,17.97872340425532,19.0125
3,88.0,99.0,2.0,147.2,19.5,16.355555555555554
4,88.0,5.0,1.0,91.38,3.0,30.459999999999997
0,88.0,95.0,295.0,53.3,33.70169491525424,106.6
1,95.0,13.0,1.0,76.05,32.0,2.3765625
2,13.0,88.0,2.0,22.87,6.0,3.811666666666667
3,95.0,5.0,1.0,39.38,5.0,7.876
4,5.0,13.0,1.0,114.24,235.0,0.4861276595744681
5,95.0,99.0,2.0,97.82,6.5,48.91
6,95.0,22.0,1.0,157.9,517.0,0.3054158607350097
0,95.0,88.0,378.0,53.3,5.2063492063492065,106.6
1,95.0,5.0,675.0,39.38,6.149629629629629,78.76
2,5.0,22.0,153.0,121.22,3.934640522875817,60.61
3,22.0,95.0,185.0,157.9,5.448648648648649,315.8
4,5.0,88.0,58.0,91.38,969.5,45.69
5,22.0,88.0,63.0,202.54,2.3968253968253967,202.54
6,95.0,13.0,38.0,76.05,6.105263157894737,25.349999999999998
7,13.0,88.0,7.0,22.87,4.0,7.623333333333334
8,5.0,13.0,26.0,114.24,0.9230769230769231,228.48
9,95.0,99.0,4.0,97.82,4.0,97.82
10,99.0,5.0,2.0,59.06,3.0,19.686666666666667
11,13.0,22.0,17.0,223.94,3.0588235294117645,447.88
0,32.0,95.0,46.0,87.51,44.0,175.02
1,95.0,88.0,24.0,53.3,13.958333333333334,106.6
2,88.0,32.0,30.0,140.16,46.43333333333333,280.32
3,32.0,22.0,56.0,88.88,49.05357142857143,88.88
4,22.0,99.0,37.0,64.39,13.216216216216216,12.878
5,99.0,32.0,37.0,27.73,38.486486486486484,55.46
6,22.0,95.0,35.0,157.9,22.17142857142857,315.8
7,95.0,99.0,26.0,97.82,109.6923076923077,97.82
8,88.0,22.0,13.0,202.54,7.846153846153846,101.27
9,99.0,5.0,10.0,59.06,47.1,29.53
10,5.0,32.0,46.0,48.84,51.608695652173914,24.42
11,5.0,22.0,24.0,121.22,23.5,60.61
12,99.0,88.0,5.0,147.2,17.2,29.439999999999998
13,95.0,5.0,6.0,39.38,12.0,9.845
14,5.0,88.0,4.0,91.38,28.25,18.276
15,95.0,120.0,1.0,73.6,2.0,36.8
16,120.0,99.0,1.0,40.56,2.0,20.28
0,88.0,95.0,30.0,53.3,86.6,53.3
1,95.0,13.0,13.0,76.05,7.615384615384615,12.674999999999999
2,95.0,5.0,12.0,39.38,70.41666666666667,9.845
3,5.0,13.0,5.0,114.24,1.0,228.48
