,wifi_a,wifi_b,count,distance,meanTime,maxSpeed
0,52320.0,88.0,1.0,105.61,14628.0,0.007219715613891168
1,88.0,99.0,1.0,147.2,7548.0,0.019501854795972443
2,99.0,52320.0,1.0,51.94,212.0,0.245
0,22.0,56528.0,10.0,92.36,12.0,30.786666666666665
1,56528.0,49.0,3.0,102.08,20.0,5.104
2,49.0,22.0,3.0,190.46,8.0,23.8075
0,25965.0,58941.0,2316.0,25.08,3.84153713298791,50.16
1,58941.0,61581.0,1579.0,44.64,7.88727042431919,44.64
2,61581.0,25965.0,1926.0,63.51,21.173935617860852,127.02
3,61581.0,39799.0,19.0,33.12,1.5789473684210527,66.24
4,39799.0,25965.0,25.0,30.61,1.8,61.22
5,25965.0,56828.0,31.0,29.12,2.806451612903226,58.24
6,56828.0,61581.0,22.0,36.8,2.227272727272727,36.8
7,58941.0,56828.0,35.0,23.43,1.0857142857142856,46.86
8,58941.0,39799.0,4.0,14.56,4.5,3.64
9,61581.0,120.0,3.0,32.38,1.3333333333333333,64.76
10,120.0,25965.0,3.0,78.37,3.6666666666666665,78.37
11,58941.0,120.0,2.0,67.87,3.0,22.623333333333335
12,58941.0,32.0,6.0,43.81,2907.5,43.81
13,25965.0,32.0,4.0,67.76,1.0,67.76
0,79368.0,33.0,4.0,47.52,21.25,7.920000000000001
0,886.0,120.0,4.0,69.7,6.5,34.85
0,22.0,88.0,1.0,202.54,14628.0,0.01384604867377632
1,88.0,95.0,1.0,53.3,10556.0,0.005049261083743842
2,95.0,13.0,2.0,76.05,6.5,15.209999999999999
3,95.0,5.0,2.0,39.38,6.5,6.5633333333333335
0,3253.0,49.0,24.0,84.36,2.1666666666666665,168.72
0,18450.0,29641.0,18.0,27.31,671.2222222222222,54.62
1,18450.0,99.0,2.0,85.3,3.5,28.433333333333334
2,18450.0,92.0,4.0,141.38,1006.0,282.76
0,18450.0,32244.0,2108.0,16.76,4.132352941176471,33.52
0,18450.0,49.0,10.0,72.8,6.7,72.8
0,87360.0,18450.0,35.0,43.97,17.428571428571427,87.94
1,87360.0,33.0,13.0,96.94,6.384615384615385,32.31333333333333
2,87360.0,120.0,4.0,27.32,1.0,54.64
3,120.0,33.0,1.0,88.04,265.0,0.33222641509433964
4,33.0,22.0,8.0,24.53,0.0,49.06
5,22.0,87360.0,12.0,102.27,7.0,34.089999999999996
6,120.0,22.0,1.0,86.98,4.0,21.745
7,87360.0,32.0,4.0,38.93,24.25,77.86
8,32.0,33.0,1.0,74.92,4.0,18.73
9,32.0,22.0,2.0,88.88,4.0,22.22
10,22.0,71813.0,1.0,140.28,0.0,280.56
11,71813.0,18450.0,6.0,37.54,4.0,9.385
12,87360.0,92638.0,23.0,59.91,2.5652173913043477,119.82
13,92638.0,32.0,1.0,96.09,1.0,96.09
14,33.0,92638.0,1.0,155.1,1831.0,0.08470780993992354
15,87360.0,71813.0,20.0,40.5,4.65,13.5
16,92638.0,71813.0,1.0,49.65,4.0,12.4125
17,18450.0,92.0,1.0,141.38,1.0,141.38
18,92.0,92638.0,2.0,136.96,4.0,34.24
19,87360.0,92.0,1.0,154.48,1.0,154.48
0,53703.0,99.0,8.0,116.5,25.625,38.833333333333336
1,53703.0,92.0,2.0,158.11,33.0,316.22
0,56528.0,49.0,2.0,102.08,427.0,0.24362768496420048
1,56528.0,80412.0,6.0,103.79,145.5,34.59666666666667
0,80412.0,92.0,4.0,149.66,22.75,74.83
1,80412.0,49.0,4.0,74.61,6.5,18.6525
0,61695.0,88.0,3.0,71.29,9.666666666666666,23.763333333333335
1,61695.0,22.0,4.0,163.35,9.25,54.449999999999996
0,56528.0,99.0,8.0,33.61,158.25,11.203333333333333
1,56528.0,22.0,2.0,92.36,182.5,0.7215625
0,2698.0,22.0,6.0,134.81,2.6666666666666665,67.405
0,6650.0,8649.0,301.0,8.06,30.14950166112957,16.12
1,6650.0,60685.0,27.0,18.97,34.333333333333336,18.97
2,60685.0,8649.0,21.0,26.48,26.904761904761905,13.24
3,6650.0,7657.0,22.0,23.71,47.90909090909091,5.9275
4,7657.0,8649.0,14.0,16.4,21.142857142857142,32.8
5,7657.0,60685.0,3.0,39.32,5.666666666666667,19.66
6,6650.0,13.0,4.0,150.93,32.5,11.610000000000001
7,60685.0,13.0,1.0,166.3,1.0,166.3
8,13.0,8649.0,2.0,143.07,3.0,143.07
9,7657.0,13.0,1.0,127.51,5.0,25.502000000000002
0,30650.0,95.0,6.0,59.29,256.3333333333333,5.929
1,30650.0,101.0,6.0,31.24,282.3333333333333,0.97625
2,101.0,95.0,2.0,90.35,39.0,2.5814285714285714
0,30650.0,95.0,6.0,59.29,4318.0,1.5202564102564102
1,30650.0,101.0,2.0,31.24,429.0,0.38097560975609757
0,95.0,22.0,3.0,157.9,519.6666666666666,52.63333333333333
1,22.0,32.0,3.0,88.88,949.6666666666666,177.76
2,22.0,5.0,3.0,121.22,840.3333333333334,1.0101666666666667
3,5.0,32.0,2.0,48.84,46.0,16.28
4,32.0,95.0,2.0,87.51,22592.5,0.09299681190223168
5,95.0,5.0,4.0,39.38,596.0,5.625714285714286
6,5.0,99.0,5.0,59.06,815.6,14.765
7,99.0,120.0,2.0,40.56,2.0,20.28
8,120.0,22.0,2.0,86.98,4.5,21.745
9,22.0,99.0,1.0,64.39,6.0,10.731666666666667
10,32.0,99.0,2.0,27.73,187.0,0.5437254901960784
11,95.0,88.0,2.0,53.3,136.5,0.6922077922077922
0,18450.0,49.0,6.0,72.8,17.333333333333332,72.8
0,79368.0,5.0,6.0,72.9,133.0,72.9
1,79368.0,33.0,2.0,47.52,7.0,7.920000000000001
0,80412.0,5.0,2.0,80.82,33082.5,2.886428571428571
0,49.0,101.0,3.0,54.17,114.0,18.05666666666667
1,101.0,5.0,1.0,82.63,46.0,1.796304347826087
2,5.0,95.0,1.0,39.38,7.0,5.625714285714286
0,99.0,94758.0,6.0,59.51,141.0,8.501428571428571
1,94758.0,120.0,1.0,87.21,568.0,0.1535387323943662
2,120.0,99.0,3.0,40.56,142.66666666666666,40.56
3,94758.0,5.0,2.0,117.96,6.5,39.32
0,84.0,33.0,1.0,130.17,1561.0,0.08338885329916719
1,33.0,22.0,4.0,24.53,130.0,49.06
2,33.0,120.0,1.0,88.04,515.0,0.17095145631067962
3,120.0,99.0,1.0,40.56,533.0,0.07609756097560975
4,99.0,5.0,4.0,59.06,6.5,19.686666666666667
0,52895.0,88.0,3.0,101.4,10.666666666666666,16.900000000000002
1,52895.0,22.0,11.0,120.1,11.090909090909092,60.05
2,22.0,88.0,1.0,202.54,3.0,67.51333333333334
3,88.0,2698.0,2.0,75.33,2.5,37.665
4,2698.0,52895.0,12.0,27.29,5.333333333333333,13.645
5,22.0,2698.0,2.0,134.81,5.5,26.962
6,52895.0,120.0,2.0,51.32,6.5,102.64
0,67649.0,86321.0,20.0,51.24,2.95,102.48
0,14362.0,84.0,16.0,59.74,12.5625,19.913333333333334
0,88518.0,53703.0,26.0,52.24,29.23076923076923,52.24
