cluster_num,noise_num,dbcv,silhouette,calinski,eps,min_samples
4,1043,0.5520031675018644,0.9376863609998561,3358.1483606704164,0.1,5
3,1048,0.6428072784949654,0.9349871513817286,2448.528489584957,0.1,6
1,0,-1.0,-1.0,-1.0,0.1,7
1,0,-1.0,-1.0,-1.0,0.1,8
0,0,-1.0,-1.0,-1.0,0.1,9
0,0,-1.0,-1.0,-1.0,0.1,10
0,0,-1.0,-1.0,-1.0,0.1,11
0,0,-1.0,-1.0,-1.0,0.1,12
0,0,-1.0,-1.0,-1.0,0.1,13
0,0,-1.0,-1.0,-1.0,0.1,14
7,1011,0.3108706749785537,0.9061519419733614,4147.593444874858,0.12000000000000001,5
7,1019,0.312664393365128,0.9142771800671988,5566.041324529335,0.12000000000000001,6
3,1044,0.18841315194511254,0.9089343198806871,1530.7846652835997,0.12000000000000001,7
2,1052,0.7263435304667722,0.9188292670895999,988.8168570682478,0.12000000000000001,8
0,0,-1.0,-1.0,-1.0,0.12000000000000001,9
0,0,-1.0,-1.0,-1.0,0.12000000000000001,10
0,0,-1.0,-1.0,-1.0,0.12000000000000001,11
0,0,-1.0,-1.0,-1.0,0.12000000000000001,12
0,0,-1.0,-1.0,-1.0,0.12000000000000001,13
0,0,-1.0,-1.0,-1.0,0.12000000000000001,14
10,987,0.16371070645170183,0.9086092307019982,6315.481644903838,0.14,5
7,1007,0.06764910459004812,0.8804733337551431,3693.5904529640025,0.14,6
4,1029,0.3531082889316359,0.8893949839784842,1740.4312567873515,0.14,7
2,1043,0.4626619114100159,0.8739562062542077,506.33543114041476,0.14,8
1,0,-1.0,-1.0,-1.0,0.14,9
1,0,-1.0,-1.0,-1.0,0.14,10
1,0,-1.0,-1.0,-1.0,0.14,11
0,0,-1.0,-1.0,-1.0,0.14,12
0,0,-1.0,-1.0,-1.0,0.14,13
0,0,-1.0,-1.0,-1.0,0.14,14
14,952,0.18140509053828888,0.8892391494618624,7696.435177060713,0.16,5
6,996,-0.06945877779123058,0.8749287901642807,1846.758042287592,0.16,6
6,1005,-0.006331102459254366,0.8497275679506323,2636.9224074285594,0.16,7
4,1024,-0.018348545830558605,0.8670952109720758,1413.3367424098954,0.16,8
2,1040,0.15996887901469056,0.8553386639129883,466.0486996310776,0.16,9
1,0,-1.0,-1.0,-1.0,0.16,10
1,0,-1.0,-1.0,-1.0,0.16,11
1,0,-1.0,-1.0,-1.0,0.16,12
1,0,-1.0,-1.0,-1.0,0.16,13
1,0,-1.0,-1.0,-1.0,0.16,14
17,915,0.07371138090750938,0.8125415898681941,2359.6710137635305,0.18,5
7,972,-0.09354771750366708,0.840344535802116,1459.2859619166277,0.18,6
6,992,-0.08077224574460815,0.8334976182351835,1559.854066001969,0.18,7
4,1010,-0.1486392118464331,0.8101509565355204,711.3466088648152,0.18,8
2,1036,-0.2061388679932664,0.8266121064892625,332.15247056828406,0.18,9
1,0,-1.0,-1.0,-1.0,0.18,10
1,0,-1.0,-1.0,-1.0,0.18,11
1,0,-1.0,-1.0,-1.0,0.18,12
1,0,-1.0,-1.0,-1.0,0.18,13
1,0,-1.0,-1.0,-1.0,0.18,14
18,863,-0.05923332079503771,0.7586184307060093,1942.7622498155524,0.2,5
7,946,-0.1005135312831574,0.6808762264064664,566.5722554255647,0.2,6
4,972,-0.20309937036331288,0.6561197054893868,324.3791814960973,0.2,7
3,988,-0.3346839789599249,0.6662831988703447,191.69002906172,0.2,8
3,1002,-0.2687000999919475,0.721165789180458,258.2654052912074,0.2,9
3,1013,-0.37331140066364205,0.7879390801327969,516.0048839652173,0.2,10
2,1033,-0.15022355910122853,0.8153720933885958,340.49942337804697,0.2,11
1,0,-1.0,-1.0,-1.0,0.2,12
1,0,-1.0,-1.0,-1.0,0.2,13
1,0,-1.0,-1.0,-1.0,0.2,14
23,812,-0.06791403431431849,0.7640724154262731,3019.1805417112837,0.22,5
9,910,-0.15862680144212377,0.7036360373293815,849.3308688832352,0.22,6
7,940,-0.17029353769592315,0.7050833171359069,786.3018376704524,0.22,7
4,961,-0.2648393627478951,0.6604084894669812,380.6743763654032,0.22,8
4,972,-0.3360883957504884,0.6777614358537288,292.8328687856192,0.22,9
3,1001,-0.37080456488268027,0.6846225824089422,242.12449886782568,0.22,10
2,1009,0.6007502511082402,0.7780754273726761,253.87375844609662,0.22,11
2,1021,-0.4522521580877836,0.680264876124986,70.79669845101718,0.22,12
2,1029,-0.41841468785984337,0.8091327894552691,398.1872996871288,0.22,13
1,0,-1.0,-1.0,-1.0,0.22,14
27,752,-0.03023465840550564,0.772152627578962,4527.817274943508,0.24000000000000002,5
15,844,-0.10693364013031442,0.7420044861281541,1683.40776784981,0.24000000000000002,6
8,907,-0.20954032976508244,0.6910450180866483,735.4492454354285,0.24000000000000002,7
6,930,-0.21891191403504912,0.7971463712096939,680.8072242746379,0.24000000000000002,8
4,959,-0.22982016244848985,0.6493648342278332,357.86382632033354,0.24000000000000002,9
3,971,-0.3112550828990534,0.6266116437564407,108.71083662482967,0.24000000000000002,10
3,997,-0.4049572001424272,0.6711051805985431,235.72083934557634,0.24000000000000002,11
1,0,-1.0,-1.0,-1.0,0.24000000000000002,12
1,0,-1.0,-1.0,-1.0,0.24000000000000002,13
2,1017,-0.3882608925071075,0.7642432522019695,323.26286997054683,0.24000000000000002,14
32,661,-0.17077067888930114,0.7696254343358262,6194.428569541473,0.26,5
19,776,-0.2392161496227012,0.7499400284906135,2757.9009786446404,0.26,6
12,846,-0.20947476194350081,0.7391064131475845,1619.97431271157,0.26,7
8,895,-0.3305132955042764,0.800069511371163,913.4066821901213,0.26,8
5,929,-0.35539595035524174,0.7821831620755482,455.6126144327292,0.26,9
3,954,-0.08410999257330984,0.7386562654634989,326.06512010854124,0.26,10
3,973,-0.5212065897571,0.6348295446213061,213.34782110134816,0.26,11
2,994,-0.6745125094544336,0.5990656933780079,73.65210100516839,0.26,12
1,0,-1.0,-1.0,-1.0,0.26,13
1,0,-1.0,-1.0,-1.0,0.26,14
32,579,-0.20749758454147574,0.6786300576743,2707.658742808987,0.28,5
25,675,-0.1729451627362542,0.6983171830467533,1736.824428776512,0.28,6
13,783,-0.013628675424956929,0.6975315068462965,1280.4948490585844,0.28,7
11,835,-0.1472821835812902,0.7389548879831683,921.3298056715688,0.28,8
10,872,-0.24821153441744878,0.7946252781089045,1285.819849402496,0.28,9
5,924,-0.3485379787826263,0.7239844748972255,370.8572867281249,0.28,10
2,960,-0.47551163994290546,0.5991124092769774,105.15005228308216,0.28,11
2,964,-0.22211753797320485,0.6106855006947197,109.79846531034768,0.28,12
1,0,-1.0,-1.0,-1.0,0.28,13
2,989,-0.6724316656689544,0.6134041024013381,106.24442771792188,0.28,14
27,505,-0.2086230756242111,0.4803243253700474,702.9343486192859,0.30000000000000004,5
23,598,-0.19363778344629423,0.6355592900410453,1855.4240479451723,0.30000000000000004,6
16,667,-0.11955193969469208,0.6393402546731253,1293.2762247547753,0.30000000000000004,7
13,759,-0.1334519311455679,0.6817693089503916,1411.441476134964,0.30000000000000004,8
12,820,-0.31263726387989277,0.6932070884090933,1751.7194501288293,0.30000000000000004,9
9,864,-0.14928433007040393,0.7008983354873132,1175.6906939882492,0.30000000000000004,10
3,936,-0.4352550493737932,0.6248309704648175,343.7662595776753,0.30000000000000004,11
2,947,-0.5534973395002917,0.5998930492187974,132.7619436700309,0.30000000000000004,12
2,954,-0.5300131108518453,0.5871639632744811,107.73540203627792,0.30000000000000004,13
1,0,-1.0,-1.0,-1.0,0.30000000000000004,14
28,437,-0.31445430798215007,0.32045203391190086,523.106040085056,0.32,5
25,527,-0.28179559245078534,0.4812818445730753,745.9657703096623,0.32,6
16,615,-0.1619641582652104,0.4352841335917431,396.24586763675967,0.32,7
12,696,-0.1447280984324865,0.6189593376472583,976.522511217892,0.32,8
