cluster_count,noise_num,silhouette,calinski_harabasz,dbcv,eps,min_samples
49,800,0.6907648315962727,8286.336292816088,-0.21352290340848024,0.15,5
41,897,0.6833469876498375,6422.374971279801,-0.18822858909615287,0.15,6
36,999,0.6979594861816344,5800.092424142017,-0.2438651148181992,0.15,7
28,1122,0.7533131653782285,6177.5284854975225,-0.09734186992968474,0.15,8
23,1217,0.7554869978389148,8344.433554023633,0.00512877925653309,0.15,9
42,757,0.45962983796530327,1836.3726780168543,-0.2883439136962914,0.16,5
39,849,0.4724156732151391,1702.1718198765439,-0.27821799804012926,0.16,6
31,957,0.6919863605295823,5289.886134306181,-0.19022517888208404,0.16,7
30,1059,0.7167056834724601,7225.07945062996,-0.17006482421227118,0.16,8
22,1152,0.7329852195619658,5385.0411482166965,-0.15114190089788182,0.16,9
38,731,0.4366401021798684,1472.542900357602,-0.25699880381869356,0.16999999999999998,5
30,831,0.4045371143701999,1111.326655615062,-0.2447978887656577,0.16999999999999998,6
27,914,0.41225522861558356,983.9803557118162,-0.256495753585071,0.16999999999999998,7
35,963,0.7023125152696622,6294.526653165027,-0.29215982885248387,0.16999999999999998,8
24,1106,0.7028011234790618,4551.5246571655525,-0.25250590473945667,0.16999999999999998,9
37,684,0.41124002840709917,1358.0622771422507,-0.21701264391845165,0.18,5
30,782,0.39353683007288376,1240.0492032876234,-0.2507949355058799,0.18,6
27,854,0.4174402600917737,1097.73018143406,-0.3020218298523329,0.18,7
29,919,0.41549717789092616,997.1137557044464,-0.28987691873012184,0.18,8
24,1061,0.688377194509239,2081.2742146614414,-0.2896698236703083,0.18,9
39,640,0.3214743363797518,758.2232185516069,-0.027733434401416453,0.19,5
32,728,0.3014973106736123,626.1128595814292,-0.29457341332980613,0.19,6
25,822,0.39429274811997533,998.5931244927492,-0.292732470160872,0.19,7
26,882,0.40140524569526964,905.8053324699871,-0.32490472809130777,0.19,8
19,993,0.4417748474221722,663.4088018216485,-0.26446172141854923,0.19,9
40,601,0.3325788956711086,865.1288485433015,-0.29378741691132065,0.2,5
32,692,0.30066765570180076,613.4020363866464,0.021926446165837304,0.2,6
25,785,0.2821559334708019,490.2898300915791,-0.27323850264612565,0.2,7
22,853,0.37993242224755225,873.622219412138,-0.24214412656658055,0.2,8
20,939,0.4456951657745068,688.1786579452806,-0.22530979298228865,0.2,9
36,562,0.3009116948402486,686.451789123758,-0.07916314334143801,0.21,5
32,646,0.303101469372978,598.6969084529557,-0.27849105971247656,0.21,6
26,737,0.2789247547535485,507.82185266714583,-0.009511378406663289,0.21,7
25,799,0.2969317994919401,453.1256305035051,-0.3243597503698188,0.21,8
23,865,0.3937653398766394,886.1157282277346,-0.26829961738750946,0.21,9
36,528,0.30040212566642865,709.413824956528,-0.14091144223248586,0.22,5
30,614,0.286657708859231,512.6647685002946,-0.2834213748430738,0.22,6
26,684,0.2714147845021154,474.3441896612842,-0.0626758018990294,0.22,7
22,768,0.27039895313504936,426.28001893023156,-0.015196535289783627,0.22,8
22,818,0.38147560847009293,891.301947756477,-0.238107912436003,0.22,9
34,507,0.30919961604502866,710.0208802118265,-0.16281468375913044,0.22999999999999998,5
30,579,0.2958831066604042,570.1802744774184,-0.14662418187173237,0.22999999999999998,6
27,644,0.2739772824739118,532.2528004617919,-0.10682127158077037,0.22999999999999998,7
22,744,0.27434429959503825,440.70775738864745,-0.028446849195665876,0.22999999999999998,8
19,791,0.2453577618214926,381.1379674595042,-0.0045243548796910175,0.22999999999999998,9
37,457,0.25975089264371404,608.8749096233546,-0.1595852480475387,0.24,5
32,532,0.24139269577671327,485.85364395182603,-0.1717653419369119,0.24,6
28,606,0.21557205797806325,428.2922277615293,-0.1428770157058392,0.24,7
22,716,0.2616458024617615,427.9114623461683,-0.14611401788829292,0.24,8
19,763,0.24385588181198362,357.57165876409044,-0.02557425386643493,0.24,9
