wifi,X,Y,parents,ID,restored_x,restored_y
66,13.949,16.375,N,real,13.949,16.375
96,62.374,59.313,N,real,62.374,59.313
105,142.814,97.329,N,real,142.814,97.329
33,194.916,125.425,N,real,194.916,125.425
99,239.844,158.207,N,real,239.844,158.207
5,287.395,193.229,N,real,287.395,193.229
95,323.59,208.748,N,real,323.59,208.748
88,376.773,212.234,N,real,376.773,212.234
19,102.488,48.308,N,real,102.488,48.308
22,205.899,103.487,N,real,205.899,103.487
120,279.519,149.801,N,real,279.519,149.801
67,370.983,159.94,N,real,370.983,159.94
92,381.397,63.134,N,real,381.397,63.134
49,310.951,262.358,N,real,310.951,262.358
101,257.355,270.201,N,real,257.355,270.201
84,254.126,241.349,N,real,254.126,241.349
4,276.312,228.59,N,real,276.312,228.59
32,239.106,185.931,N,real,239.106,185.931
13,399.251,216.457,N,real,399.251,216.457
82833,289.0,224.0,5:101:95,virtual,-1.0,-1.0
42358,317.0,235.0,49:95,virtual,-1.0,-1.0
69807,244.0,151.0,99:5:22,virtual,-1.0,-1.0
47038,241.0,137.0,120:99:22,virtual,-1.0,-1.0
25252,213.0,129.0,33:99:22,virtual,-1.0,-1.0
69845,366.0,212.0,88:13:95,virtual,-1.0,-1.0
3195,222.0,130.0,99:22,virtual,-1.0,-1.0
45500,350.0,210.0,88:95,virtual,-1.0,-1.0
31850,305.0,200.0,5:95,virtual,-1.0,-1.0
68767,307.0,221.0,49:5:95,virtual,-1.0,-1.0
1179,283.0,195.0,32:5:95,virtual,-1.0,-1.0
97420,388.0,214.0,88:13,virtual,-1.0,-1.0
17623,329.0,204.0,88:5:95,virtual,-1.0,-1.0
63705,228.0,149.0,32:99:22,virtual,-1.0,-1.0
5565,313.0,202.0,32:88:95,virtual,-1.0,-1.0
90708,255.0,179.0,32:99:5,virtual,-1.0,-1.0
94868,282.0,251.0,49:84,virtual,-1.0,-1.0
14124,200.0,114.0,33:22,virtual,-1.0,-1.0
49787,325.0,222.0,88:49:5,virtual,-1.0,-1.0
25400,226.0,126.0,120:33:22,virtual,-1.0,-1.0
95529,256.0,166.0,32:22:95,virtual,-1.0,-1.0
96893,336.0,206.0,13:5:95,virtual,-1.0,-1.0
51064,263.0,189.0,32:5,virtual,-1.0,-1.0
84734,337.0,227.0,88:49:95,virtual,-1.0,-1.0
13824,255.0,255.0,84:101,virtual,-1.0,-1.0
18742,279.0,204.0,49:99:5,virtual,-1.0,-1.0
87501,263.0,175.0,99:5,virtual,-1.0,-1.0
26465,270.0,217.0,84:5,virtual,-1.0,-1.0
12379,361.0,212.0,13:95,virtual,-1.0,-1.0
49971,224.0,156.0,32:33:99,virtual,-1.0,-1.0
31943,222.0,144.0,32:22,virtual,-1.0,-1.0
79113,299.0,227.0,49:5,virtual,-1.0,-1.0
26612,241.0,146.0,120:32:22,virtual,-1.0,-1.0
35718,296.0,183.0,120:5:95,virtual,-1.0,-1.0
64996,238.0,144.0,120:33:99,virtual,-1.0,-1.0
16679,242.0,126.0,120:22,virtual,-1.0,-1.0
81308,257.0,148.0,120:5:22,virtual,-1.0,-1.0
95572,268.0,167.0,120:99:5,virtual,-1.0,-1.0
61266,244.0,160.0,32:5:22,virtual,-1.0,-1.0
86559,283.0,171.0,120:5,virtual,-1.0,-1.0
11613,274.0,257.0,49:84:101,virtual,-1.0,-1.0
2506,217.0,141.0,33:99,virtual,-1.0,-1.0
45540,240.0,168.0,32:33:5,virtual,-1.0,-1.0
80102,284.0,266.0,49:101,virtual,-1.0,-1.0
7753,343.0,237.0,88:49,virtual,-1.0,-1.0
39637,259.0,167.0,120:32,virtual,-1.0,-1.0
25588,181.0,108.0,33:22:105,virtual,-1.0,-1.0
23064,241.0,146.0,32:120:22,virtual,-1.0,-1.0
65566,174.0,100.0,105:22,virtual,-1.0,-1.0
48850,259.0,167.0,32:120,virtual,-1.0,-1.0
41468,326.0,190.0,88:120:95,virtual,-1.0,-1.0
18682,253.0,156.0,120:33:5,virtual,-1.0,-1.0
64732,240.0,158.0,33:99:5,virtual,-1.0,-1.0
73613,259.0,154.0,120:99,virtual,-1.0,-1.0
27476,181.0,108.0,33:105:22,virtual,-1.0,-1.0
69678,296.0,237.0,49:84:95,virtual,-1.0,-1.0
35436,260.0,197.0,99:84:5,virtual,-1.0,-1.0
86511,281.0,197.0,32:95,virtual,-1.0,-1.0
43630,283.0,186.0,99:5:95,virtual,-1.0,-1.0
22834,181.0,108.0,105:22:33,virtual,-1.0,-1.0
13164,213.0,138.0,32:33:22,virtual,-1.0,-1.0
33968,196.0,119.0,105:99:22,virtual,-1.0,-1.0
96544,209.0,116.0,120:105:22,virtual,-1.0,-1.0
42308,192.0,126.0,33:99:105,virtual,-1.0,-1.0
12669,280.0,181.0,120:32:95,virtual,-1.0,-1.0
21888,267.0,184.0,32:99:95,virtual,-1.0,-1.0
94844,301.0,179.0,120:95,virtual,-1.0,-1.0
92165,237.0,137.0,120:33,virtual,-1.0,-1.0
23195,239.0,172.0,32:99,virtual,-1.0,-1.0
36480,269.0,154.0,120:22:95,virtual,-1.0,-1.0
91876,288.0,214.0,84:5:95,virtual,-1.0,-1.0
76408,326.0,190.0,120:88:95,virtual,-1.0,-1.0
81968,268.0,176.0,32:120:5,virtual,-1.0,-1.0
52120,168.0,111.0,33:105,virtual,-1.0,-1.0
99966,195.0,128.0,32:105:22,virtual,-1.0,-1.0
