wifi,X,Y,parents,ID,restored_x,restored_y
66,13.949,16.375,N,real,13.949,16.375
96,62.374,59.313,N,real,62.374,59.313
105,142.814,97.329,N,real,142.814,97.329
33,194.916,125.425,N,real,194.916,125.425
99,239.844,158.207,N,real,239.844,158.207
5,287.395,193.229,N,real,287.395,193.229
95,323.59,208.748,N,real,323.59,208.748
88,376.773,212.234,N,real,376.773,212.234
19,102.488,48.308,N,real,102.488,48.308
22,205.899,103.487,N,real,205.899,103.487
120,279.519,149.801,N,real,279.519,149.801
67,370.983,159.94,N,real,370.983,159.94
92,381.397,63.134,N,real,381.397,63.134
49,310.951,262.358,N,real,310.951,262.358
101,257.355,270.201,N,real,257.355,270.201
84,254.126,241.349,N,real,254.126,241.349
4,276.312,228.59,N,real,276.312,228.59
32,239.106,185.931,N,real,239.106,185.931
13,399.251,216.457,N,real,399.251,216.457
56528,272.0,168.0,5:22:95,virtual,-1.0,-1.0
68146,272.0,231.0,101:5,virtual,-1.0,-1.0
21019,290.0,239.0,101:95,virtual,-1.0,-1.0
7513,272.0,202.0,99:84:95,virtual,-1.0,-1.0
38646,248.0,214.0,99:101,virtual,-1.0,-1.0
19605,317.0,241.0,88:101,virtual,-1.0,-1.0
58941,270.0,217.0,84:5,virtual,-1.0,-1.0
43861,258.0,182.0,49:22,virtual,-1.0,-1.0
53791,315.0,226.0,88:84,virtual,-1.0,-1.0
84561,259.0,167.0,33:95,virtual,-1.0,-1.0
61809,317.0,235.0,49:95,virtual,-1.0,-1.0
94758,200.0,114.0,33:22,virtual,-1.0,-1.0
77713,281.0,159.0,99:13:22,virtual,-1.0,-1.0
6970,299.0,227.0,49:5,virtual,-1.0,-1.0
8668,283.0,186.0,99:5:95,virtual,-1.0,-1.0
76704,252.0,174.0,49:99:22,virtual,-1.0,-1.0
79368,241.0,137.0,120:99:22,virtual,-1.0,-1.0
886,213.0,129.0,33:99:22,virtual,-1.0,-1.0
84238,290.0,169.0,88:5:22,virtual,-1.0,-1.0
80412,366.0,212.0,88:13:95,virtual,-1.0,-1.0
29193,305.0,200.0,5:95,virtual,-1.0,-1.0
56652,350.0,210.0,88:95,virtual,-1.0,-1.0
83397,264.0,156.0,22:95,virtual,-1.0,-1.0
929,246.0,148.0,5:22,virtual,-1.0,-1.0
63439,361.0,212.0,13:95,virtual,-1.0,-1.0
25509,343.0,204.0,13:5,virtual,-1.0,-1.0
79448,329.0,204.0,88:5:95,virtual,-1.0,-1.0
26562,308.0,185.0,88:99,virtual,-1.0,-1.0
60938,319.0,187.0,99:13,virtual,-1.0,-1.0
86812,222.0,130.0,99:22,virtual,-1.0,-1.0
89336,263.0,175.0,99:5,virtual,-1.0,-1.0
10375,307.0,221.0,49:5:95,virtual,-1.0,-1.0
75584,256.0,166.0,32:22:95,virtual,-1.0,-1.0
99800,259.0,167.0,120:32,virtual,-1.0,-1.0
94670,307.0,199.0,32:88,virtual,-1.0,-1.0
60685,239.0,172.0,32:99,virtual,-1.0,-1.0
58151,283.0,171.0,120:5,virtual,-1.0,-1.0
36107,388.0,214.0,88:13,virtual,-1.0,-1.0
30650,282.0,251.0,49:84,virtual,-1.0,-1.0
