wifi,X,Y,parents,ID,restored_x,restored_y
66,13.949,16.375,N,N,-1,-1
96,62.374,59.313,N,N,-1,-1
105,142.814,97.329,N,N,-1,-1
33,194.916,125.425,N,N,-1,-1
99,239.844,158.207,N,N,-1,-1
5,287.395,193.229,N,N,-1,-1
95,323.59,208.748,N,N,-1,-1
88,376.773,212.234,N,N,-1,-1
19,102.488,48.308,N,N,-1,-1
22,205.899,103.487,N,N,-1,-1
120,279.519,149.801,N,N,-1,-1
67,370.983,159.94,N,N,-1,-1
92,381.397,63.134,N,N,-1,-1
49,310.951,262.358,N,N,-1,-1
101,257.355,270.201,N,N,-1,-1
84,254.126,241.349,N,N,-1,-1
4,276.312,228.59,N,N,-1,-1
32,239.106,185.931,N,N,-1,-1
13,399.251,216.457,N,N,-1,-1
60685,264.0,156.0,22:95,virtual,-1,-1
58053,246.0,148.0,5:22,virtual,-1,-1
12455,305.0,200.0,5:95,virtual,-1,-1
91737,272.0,168.0,5:22:95,virtual,-1,-1
54583,272.0,231.0,101:5,virtual,-1,-1
72531,263.0,175.0,99:5,virtual,-1,-1
74253,281.0,183.0,99:95,virtual,-1,-1
35413,283.0,186.0,99:5:95,virtual,-1,-1
79649,350.0,210.0,88:95,virtual,-1,-1
87473,308.0,185.0,88:99,virtual,-1,-1
70312,313.0,193.0,88:99:95,virtual,-1,-1
40257,231.0,186.0,101:22,virtual,-1,-1
18197,250.0,188.0,5:101:22,virtual,-1,-1
64307,332.0,202.0,88:5,virtual,-1,-1
44698,301.0,187.0,88:99:5,virtual,-1,-1
87470,329.0,204.0,88:5:95,virtual,-1,-1
64296,290.0,239.0,101:95,virtual,-1,-1
71593,262.0,194.0,101:22:95,virtual,-1,-1
14899,289.0,224.0,5:101:95,virtual,-1,-1
19521,291.0,157.0,88:22,virtual,-1,-1
16257,302.0,174.0,88:22:95,virtual,-1,-1
24978,290.0,169.0,88:5:22,virtual,-1,-1
85241,288.0,225.0,84:95,virtual,-1,-1
43830,246.0,199.0,99:84,virtual,-1,-1
79177,272.0,202.0,99:84:95,virtual,-1,-1
31640,222.0,130.0,99:22,virtual,-1,-1
88877,256.0,156.0,99:22:95,virtual,-1,-1
54074,244.0,151.0,99:5:22,virtual,-1,-1
51806,274.0,157.0,88:99:22,virtual,-1,-1
77617,248.0,214.0,99:101,virtual,-1,-1
23253,261.0,207.0,5:99:101,virtual,-1,-1
86439,273.0,212.0,99:101:95,virtual,-1,-1
73895,234.0,177.0,99:101:22,virtual,-1,-1
96690,317.0,241.0,88:101,virtual,-1,-1
8729,319.0,230.0,88:101:95,virtual,-1,-1
14370,291.0,213.0,88:99:101,virtual,-1,-1
466,307.0,225.0,88:5:101,virtual,-1,-1
15137,280.0,195.0,88:101:22,virtual,-1,-1
24462,343.0,204.0,13:5,virtual,-1,-1
13633,270.0,217.0,84:5,virtual,-1,-1
