mac,cluster
"7.5-48,74,38,133,29,213",1
"7.5-48,74,38,155,214,98",1
"7.6-48,74,38,155,214,98",1
"7.6-32,50,51,210,96,61",1
"7.6-48,74,38,133,29,213",1
"7.6-20,178,229,137,47,142",1
"7.6-4,207,140,11,128,186",0
"7.6-208,151,254,40,222,169",0
"7.6-88,198,240,41,58,135",1
"7.6-128,214,5,75,8,213",0
"7.6-140,206,78,224,75,99",1
"7.6-184,148,54,32,44,55",1
"7.6-156,95,90,12,124,73",2
"7.6-208,151,254,41,36,198",1
"7.6-8,74,207,99,147,223",2
"7.6-164,201,57,205,13,69",1
"7.6-164,125,159,153,152,106",0
"7.6-204,129,42,183,42,73",2
"7.6-20,94,105,93,76,199",1
"7.6-36,161,96,62,65,247",0
"7.6-248,45,124,72,127,16",0
"7.6-24,208,197,242,97,13",1
"7.7-48,74,38,155,214,98",1
"7.7-32,50,51,210,96,61",1
"7.7-20,178,229,137,47,142",1
"7.7-4,207,140,11,128,186",0
"7.7-156,95,90,12,124,73",1
"7.7-48,74,38,133,29,213",1
"7.7-240,98,90,159,90,25",0
"7.7-128,214,5,75,8,213",2
"7.7-64,140,31,52,191,11",1
"7.7-208,151,254,41,36,198",1
"7.7-8,250,121,45,167,67",1
"7.7-104,74,174,67,128,132",1
"7.7-64,140,31,142,167,149",2
"7.7-164,125,159,153,152,106",0
"7.7-8,74,207,99,147,223",2
"7.7-164,204,185,229,56,107",1
"7.7-204,129,42,183,42,73",2
"7.7-164,201,57,9,43,253",1
"7.7-156,116,3,24,100,145",1
"7.7-248,45,124,72,127,16",0
"7.8-48,74,38,155,214,98",1
"7.8-32,50,51,210,96,61",1
"7.8-20,178,229,137,47,142",1
"7.8-64,140,31,52,191,11",1
"7.8-64,140,31,142,167,149",1
"7.8-48,74,38,133,29,213",1
"7.8-4,207,140,11,128,186",0
"7.8-8,250,121,45,167,67",1
"7.8-208,151,254,40,222,169",0
"7.8-88,198,240,41,58,135",2
"7.8-164,201,57,9,43,253",2
"7.8-124,218,195,126,234,181",1
"7.8-156,95,90,12,124,73",1
"7.8-92,102,108,72,204,105",1
"7.8-128,214,5,75,8,213",1
"7.8-248,45,124,72,127,16",0
"7.8-204,129,42,183,42,73",1
"7.8-184,148,54,32,44,55",1
"7.8-20,94,105,93,76,199",1
"7.8-8,74,207,99,147,223",2
"7.8-164,125,159,153,152,106",0
"7.8-112,58,81,118,159,27",1
"7.8-176,223,193,193,47,17",1
"7.8-164,204,185,229,56,107",1
"7.8-156,116,3,24,100,145",1
"7.8-184,55,101,29,72,107",1
"7.8-220,114,155,222,161,114",0
"7.8-212,202,110,152,68,229",0
"7.8-60,134,209,115,214,231",1
"7.9-48,74,38,155,214,98",1
"7.9-156,95,90,12,124,73",1
"7.9-92,102,108,72,204,105",1
"7.9-32,50,51,210,96,61",1
"7.9-48,74,38,133,29,213",1
"7.9-112,138,9,131,175,199",0
"7.9-20,178,229,137,47,142",1
"7.9-220,240,144,185,104,48",1
"7.9-8,74,207,99,147,223",1
"7.9-64,140,31,52,191,11",1
"7.9-4,207,140,11,128,186",0
"7.9-128,214,5,75,8,213",0
"7.9-88,198,240,41,58,135",2
"7.9-164,125,159,153,152,106",0
"7.9-164,204,185,229,56,107",1
"7.9-208,151,254,41,36,198",1
"7.9-64,140,31,142,167,149",1
"7.9-204,129,42,183,42,73",2
"7.9-184,148,54,32,44,55",2
"7.9-20,94,105,93,76,199",1
"7.9-248,45,124,72,127,16",0
"7.9-48,74,38,155,214,96",1
"7.9-104,74,174,67,128,132",1
"7.9-164,201,57,9,43,253",1
"7.9-8,250,121,45,167,67",2
"7.9-108,135,25,15,123,144",0
"7.9-160,48,74,38,155,214",1
"7.9-60,134,209,115,214,231",2
"7.9-24,217,143,31,141,109",1
"7.9-156,116,3,24,100,145",2
"7.9-184,55,101,29,72,107",2
"7.9-40,53,69,96,185,108",0
"7.9-136,17,150,74,78,239",1
"7.9-108,217,76,95,253,145",1
"7.9-132,65,103,218,221,212",0
"7.9-240,98,90,159,90,22",0
"7.9-156,116,3,40,83,167",0
"7.10-112,138,9,131,175,199",0
"7.10-184,148,54,32,44,55",1
"7.10-48,74,38,155,214,98",2
"7.10-48,74,38,133,29,213",1
"7.10-32,50,51,210,96,61",1
"7.10-156,95,90,12,124,73",2
"7.10-252,107,240,89,142,53",0
"7.10-36,17,69,161,50,93",1
"7.10-48,69,150,180,24,101",0
"7.10-4,207,140,11,128,186",0
"7.10-88,198,240,41,58,135",2
"7.10-8,74,207,99,147,223",2
"7.10-180,71,245,166,44,220",1
"7.10-184,55,101,29,72,107",2
"7.10-248,45,124,72,127,16",1
"7.10-140,37,5,134,24,48",1
"7.10-112,58,81,118,159,27",1
"7.10-8,250,121,45,167,67",1
"7.10-164,201,57,9,43,253",1
"7.10-124,125,61,133,174,241",1
"7.10-64,140,31,142,167,149",1
"7.10-104,160,62,174,96,98",1
"7.10-48,90,38,155,214,98",1
"7.10-20,94,105,93,76,199",1
"7.10-124,218,195,126,234,181",1
"7.10-48,74,38,155,86,98",0
"7.10-64,68,253,44,108,157",2
"7.10-48,74,38,155,214,96",1
"7.10-128,214,5,75,8,213",2
"7.10-208,151,254,40,222,169",0
"7.10-204,8,251,70,125,190",0
"7.10-132,65,103,218,221,212",0
"7.10-48,74,36,155,214,98",0
"7.10-204,129,42,183,42,73",2
"7.10-240,98,90,159,90,22",2
"7.10-164,48,74,38,155,214",2
"7.10-252,190,123,146,220,35",1
"7.10-48,231,188,153,110,173",2
"7.10-104,74,174,67,128,132",1
"7.10-208,151,254,41,36,198",1
"7.10-164,204,185,229,56,107",1
"7.10-216,50,20,254,96,65",1
"7.10-48,74,38,153,214,98",1
"7.10-160,48,74,38,155,214",2
"7.10-8,250,121,183,224,101",1
"7.10-52,74,38,155,214,98",2
"7.10-240,103,40,135,90,171",1
"7.10-48,74,54,155,214,98",2
"7.10-48,72,38,155,214,98",1
"7.10-48,74,38,155,214,114",1
"7.10-48,74,38,27,214,98",2
"7.10-164,220,240,144,185,104",1
"7.10-172,115,82,76,172,89",2
"7.10-76,24,154,44,218,251",2
"7.10-40,53,69,96,185,108",0
"7.10-136,191,228,175,202,9",2
"7.10-156,116,3,24,100,145",2
"7.10-156,245,49,209,69,163",2
"7.10-48,74,38,219,214,98",1
"7.10-108,217,76,95,253,145",2
"7.10-188,106,209,65,143,224",2
"7.10-28,209,7,152,33,91",1
"7.10-48,74,6,155,214,98",1
"7.10-48,74,38,155,214,99",2
"7.10-48,74,38,155,214,66",2
"7.10-48,148,53,197,58,225",0
"7.10-48,66,38,155,214,98",1
"7.10-48,74,102,155,214,98",1
"7.10-48,74,39,155,214,98",1
"7.10-48,74,38,155,215,98",1
"7.10-48,74,38,159,214,98",1
"7.10-164,125,159,153,152,107",0
"7.10-48,75,38,155,214,98",2
"7.10-176,241,236,166,12,79",0
"7.10-164,201,57,205,13,69",1
"7.10-176,241,236,211,105,14",1
"7.10-48,74,6,133,29,213",1
"7.10-252,124,2,134,99,96",1
"7.11-48,74,38,155,214,98",1
"7.11-32,50,51,210,96,61",1
"7.11-184,148,54,32,44,55",2
"7.11-156,95,90,12,124,73",1
"7.11-8,74,207,99,147,223",2
"7.11-88,198,240,41,58,135",2
"7.11-48,74,38,133,29,213",1
"7.11-48,69,150,180,24,101",0
"7.11-20,94,105,93,76,199",1
"7.11-248,45,124,72,127,16",0
"7.11-164,125,159,153,152,106",0
"7.11-208,151,254,40,222,169",0
"7.11-112,138,9,131,175,199",0
"7.11-140,37,5,134,24,48",1
"7.11-104,160,62,174,96,98",1
"7.11-112,58,81,118,159,27",1
"7.11-64,140,31,142,167,149",1
"7.11-124,218,195,126,234,181",1
"7.11-4,207,140,11,128,186",0
"7.11-176,241,236,211,105,14",1
"7.11-104,74,174,67,128,132",1
"7.11-192,46,37,42,205,205",0
"7.11-164,204,185,229,56,107",0
"7.11-36,17,69,161,50,93",1
"7.11-128,214,5,75,8,213",2
"7.11-8,250,121,194,19,245",1
"7.11-124,161,119,225,7,54",1
"7.11-132,65,103,218,221,212",0
"7.11-36,6,170,198,198,211",0
"7.11-216,50,20,254,96,65",1
"7.11-36,6,170,19,129,255",1
"7.11-60,134,209,115,214,231",2
"7.11-196,64,246,34,203,41",0
"7.11-40,53,69,96,185,108",0
"7.11-204,8,251,70,125,190",0
"7.11-204,129,42,183,42,73",2
"7.11-252,124,2,134,99,96",1
"7.11-8,250,121,45,167,67",1
"7.11-24,2,174,207,62,51",1
"7.11-164,201,57,9,43,253",1
"7.11-208,151,254,41,36,198",1
"7.11-32,238,40,60,214,136",1
"7.11-204,102,10,209,112,18",2
"7.11-108,217,76,95,253,145",2
"7.11-108,177,88,58,181,202",1
"7.11-136,191,228,175,202,9",1
"7.11-156,116,3,24,100,145",1
"7.11-172,115,82,76,172,89",1
"7.11-252,190,123,146,220,35",1
