mac,数据量,平均活跃时刻,移动距离,中间时刻,持续时间,id,cluster
"7.6-64,140,31,52,191,11",2.3157894736842106,1.1613549484933134,1.6318169366908706,4.6233397129972635,9.88862925632709,1,0
"7.7-20,178,229,137,47,142",0.42105263157894735,2.368196406319899,0.0,4.550562259222447,9.998139945825923,1,0
"7.8-32,50,51,210,96,61",0.631578947368421,6.846388699360993,0.0,4.5507265424138135,9.999069972912961,1,0
"7.8-20,178,229,137,47,142",3.473684210526316,4.757270172425866,0.0,4.549001568904477,9.995931131494205,1,0
"7.9-164,125,159,153,152,106",3.6842105263157894,3.436956817587138,2.244978979002823,4.495938098093494,9.77667724572478,1,0
"7.10-4,207,140,11,128,186",0.8421052631578947,5.0976449772231724,0.0,4.542430241249866,9.98128320487334,1,0
"7.10-248,45,124,72,127,16",2.0,5.984952275392679,0.0,4.534544648064333,9.940827026587149,1,0
"7.10-48,74,54,155,214,98",2.3157894736842106,4.904996980465116,7.8639570290324015,5.234883892854503,8.18912100814936,1,0
"7.10-48,74,38,155,214,114",1.4736842105263157,6.370502952673288,5.069335545930583,5.101157375083167,7.563910298887453,1,1
"7.10-48,74,38,27,214,98",1.368421052631579,5.386985871143616,6.538701263641816,4.414535776771999,6.003673606993804,1,1
"7.10-76,24,154,44,218,251",3.3684210526315788,7.580441785182779,3.019957044912283,5.540779195176643,6.854764645020285,1,1
"7.10-40,53,69,96,185,108",1.4736842105263157,4.822438487421249,0.0,5.498640556591453,6.515188504865204,1,0
"7.10-136,191,228,175,202,9",4.526315789473684,7.046266013791522,3.8433290589977407,6.265185927501827,7.472651390971762,1,1
"7.10-48,74,38,219,214,98",1.6842105263157894,4.293401665895258,5.21054741932026,4.492323867883457,4.608516723049558,1,2
"7.10-188,106,209,65,143,224",2.9473684210526314,6.023811650786001,7.209943983707241,5.147320951856812,5.065625036329183,1,1
"7.10-48,74,38,155,214,99",2.0,5.492371917939833,9.262736659904483,5.133274738995079,4.710005928922678,1,1
"7.10-48,148,53,197,58,225",1.5789473684210527,6.215460910188416,0.5816801711851556,4.300523241964498,3.4305211639288995,1,1
"7.10-164,125,159,153,152,107",0.8421052631578947,5.699025136911807,1.5332028536152544,5.313657683114151,3.541659400830048,1,1
"7.10-252,217,8,43,220,46",1.4736842105263157,3.7342957303441446,4.448829057012757,3.8014309065967913,1.098245736407073,1,2
"7.10-176,241,236,166,12,79",1.1578947368421053,7.476261992721898,1.6431313544350534,6.559827831215449,4.184424371359816,1,1
"7.10-164,201,57,205,13,69",0.9473684210526316,5.036279512152313,1.933415644068268,6.689447269202651,2.9949197270370496,1,1
"7.10-176,241,236,211,105,14",1.1578947368421053,5.542789000359937,2.2703073948652395,8.095547104098044,4.978900010462805,1,1
"7.10-48,74,6,133,29,213",0.7368421052631579,6.031701589710248,1.3777387838390416,6.989264093444279,3.3918087864309046,1,1
"7.10-20,94,105,220,154,7",0.21052631578947367,7.144166111765223,1.1854730816106969,6.70185065015073,1.3356351503737554,1,1
"7.10-20,198,151,49,18,5",0.10526315789473684,8.653277036515268,0.0,8.891909874241218,0.5567374649786678,1,1
"7.10-252,124,2,134,99,96",0.5263157894736842,8.743834610425655,0.0,9.155255829999755,0.8580662411792757,1,1
"7.11-48,69,150,180,24,101",1.8947368421052633,8.126314723293705,0.0,4.560747817087094,9.975586788965227,1,0
"7.11-248,45,124,72,127,16",3.3684210526315788,2.176054088235168,0.7033994862857347,4.544730205928981,9.93175926248852,1,0
"7.11-208,151,254,40,222,169",2.2105263157894735,4.245206273987996,0.09738339202274,4.473184876089403,9.81817970448389,1,0
"7.11-112,138,9,131,175,199",0.5263157894736842,5.2519953037936515,0.0,4.578901109732958,9.958962554784407,1,0
"7.11-140,37,5,134,24,48",1.263157894736842,3.0838343826453105,1.4570191074710888,4.560747817087094,9.933038049733197,1,0
"7.11-64,140,31,142,167,149",1.263157894736842,3.514061350920905,0.0,4.463738592585899,9.778537299898858,1,0
"7.11-124,218,195,126,234,181",0.7368421052631579,3.877619286080897,0.0,4.51450209871777,9.84456922307862,1,0
"7.11-176,241,236,211,105,14",2.4210526315789473,3.8643586632696634,1.5013636850860097,4.471624185771432,9.680884455759774,1,0
"7.11-104,74,174,67,128,132",1.6842105263157894,5.90981424570654,0.5242743885251955,4.558858560386393,9.784814982736371,1,0
"7.11-8,250,121,194,19,245",1.368421052631579,4.563173375645746,0.0,4.591879481850814,9.76853950871319,1,0
"7.11-36,6,170,198,198,211",1.1578947368421053,2.9881740375962442,3.778062733483928,0.6038228698630695,4.108278403608504,1,2
"7.11-216,50,20,254,96,65",0.8421052631578947,7.8471449457575275,1.8601299768550683,4.001609975275381,8.636464037015077,1,0
"7.11-108,177,88,58,181,202",0.7368421052631579,5.855392086864551,3.014438785030033,5.2779260889922055,5.775468210511631,1,1
"7.11-196,64,246,220,81,179",2.526315789473684,7.352782648675676,4.638593677423965,5.58669634716324,4.39449423964473,1,1
