m,trajs,cluster
"7.6-32,50,51,210,96,61+2","[[669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0]]",0
"7.6-48,74,38,133,29,213+2","[[870, 0], [870, 0], [870, 0], [870, 0], [870, 0], [870, 0], [870, 0], [870, 0], [870, 0], [870, 0], [870, 0], [870, 0], [870, 0], [870, 0], [870, 0], [870, 0], [870, 0]]",0
"7.6-48,74,38,133,29,213+5","[[628, 0], [628, 0], [628, 0], [628, 0], [628, 0]]",0
"7.6-48,74,38,155,214,98+3","[[749, 0]]",0
"7.6-48,74,38,155,214,98+10","[[747, 0], [747, 0], [747, 0], [747, 0], [747, 0], [747, 0]]",0
"7.6-48,74,38,155,214,98+11","[[788, 4], [789, 0], [789, 1], [829, 4], [830, 0], [830, 4], [831, 4]]",0
"7.6-48,74,38,155,214,98+12","[[832, 3], [831, 3], [830, 0], [830, 2], [790, 3], [789, 0], [789, 3]]",0
"7.6-48,74,38,155,214,98+14","[[665, 0]]",0
"7.6-48,74,38,155,214,98+15","[[499, 0], [499, 4], [500, 4], [501, 1], [541, 0], [541, 1], [581, 4], [582, 0], [582, 4], [583, 1], [623, 0], [623, 0], [623, 1], [663, 4], [664, 0], [664, 4], [665, 0], [665, 1], [705, 4], [706, 0], [706, 4], [707, 1], [747, 0], [747, 1], [787, 4], [788, 0], [788, 4], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4]]",0
"7.6-48,74,38,155,214,98+16","[[832, 0], [832, 0]]",0
"7.6-48,74,38,155,214,98+18","[[910, 0], [910, 0], [910, 0]]",0
"7.6-48,74,38,155,214,98+21","[[951, 0], [951, 0]]",0
"7.6-48,74,38,155,214,98+22","[[832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3]]",0
"7.6-48,74,38,155,214,98+23","[[788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0]]",0
"7.6-208,151,254,41,36,198+1","[[832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0]]",0
"7.6-208,151,254,41,36,198+3","[[832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0]]",0
"7.6-204,129,42,183,42,73+2","[[834, 0], [834, 0], [834, 0], [834, 0]]",0
"7.6-204,129,42,183,42,73+11","[[832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3], [788, 0], [788, 3], [787, 2], [747, 0], [747, 1], [787, 3], [786, 0], [786, 3], [785, 0], [785, 0], [785, 3], [784, 0], [784, 0], [784, 2], [744, 3]]",0
"7.6-204,129,42,183,42,73+14","[[832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3], [788, 0], [788, 3], [787, 2], [747, 0], [747, 3], [746, 2], [706, 0], [706, 2], [666, 3], [665, 0], [665, 3], [664, 0], [664, 2], [624, 3], [623, 0], [623, 0], [623, 2], [583, 3], [582, 0], [582, 3], [581, 2], [541, 0], [541, 3], [540, 3], [539, 2], [499, 0]]",0
"7.6-204,129,42,183,42,73+15","[[499, 0], [499, 4], [500, 4], [501, 1], [541, 0], [541, 4], [542, 1], [582, 0], [582, 4], [583, 1], [623, 0], [623, 0], [623, 4], [624, 1], [664, 0], [664, 4], [665, 0], [665, 1], [705, 4], [706, 0], [706, 1], [746, 4], [747, 0], [747, 1], [787, 4], [788, 0], [788, 4], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4]]",0
"7.6-204,129,42,183,42,73+16","[[832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3], [788, 0], [788, 3], [787, 2], [747, 0], [747, 2], [707, 3], [706, 0], [706, 2], [666, 3], [665, 0], [665, 3], [664, 0], [664, 3], [663, 2], [623, 0], [623, 0], [623, 3], [622, 2], [582, 0], [582, 2], [542, 3], [541, 0], [541, 3], [540, 2], [500, 3], [499, 0]]",0
"7.6-204,129,42,183,42,73+17","[[499, 2], [459, 0], [459, 4], [460, 0], [460, 2]]",0
"7.6-204,129,42,183,42,73+18","[[420, 1], [460, 0], [460, 3], [459, 0], [459, 1], [499, 0], [499, 0], [499, 4], [500, 1], [540, 4], [541, 0], [541, 1], [581, 4], [582, 0], [582, 4], [583, 1], [623, 0], [623, 0], [623, 4], [624, 1], [664, 0], [664, 4], [665, 0], [665, 4], [666, 1], [706, 0], [706, 1], [746, 4], [747, 0], [747, 1], [787, 4], [788, 0], [788, 4], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4]]",0
"7.6-204,129,42,183,42,73+19","[[832, 3], [831, 3], [830, 0], [830, 2], [790, 3], [789, 0], [789, 3], [788, 0], [788, 3], [787, 2], [747, 0], [747, 3], [746, 1], [786, 0], [786, 3], [785, 0], [785, 0], [785, 3], [784, 0], [784, 0], [784, 2], [744, 3]]",0
"7.6-204,129,42,183,42,73+20","[[743, 0], [743, 2], [703, 0], [703, 2], [663, 0], [663, 2], [623, 0], [623, 0], [623, 3], [622, 2], [582, 0], [582, 2], [542, 3], [541, 0], [541, 3], [540, 3], [539, 2], [499, 0], [499, 0], [499, 2], [459, 0], [459, 4], [460, 0], [460, 2]]",0
"7.6-204,129,42,183,42,73+29","[[1071, 2], [1031, 0], [1031, 0], [1031, 4], [1032, 0], [1032, 2], [992, 0], [992, 0], [992, 4], [993, 1], [1033, 0], [1033, 2], [993, 0], [993, 2], [953, 0], [953, 4], [954, 0], [954, 0], [954, 2], [914, 0], [914, 2], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]",0
"7.6-204,129,42,183,42,73+32","[[789, 0], [789, 0]]",0
"7.6-204,129,42,183,42,73+34","[[789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0]]",0
"7.6-88,198,240,41,58,135+2","[[914, 0], [914, 0], [914, 0], [914, 0]]",0
"7.6-88,198,240,41,58,135+8","[[914, 0]]",0
