m,trajs,cluster
"7.6-164,201,57,9,43,253+2","[[3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0]]",2
"7.6-164,201,57,9,43,253+6","[[3429, 0], [3429, 0], [3429, 0], [3429, 0]]",2
"7.6-36,161,96,62,65,247+1","[[3890, 4], [3891, 2], [3811, 0], [3811, 4], [3812, 4], [3813, 2], [3733, 0], [3733, 4], [3734, 0], [3734, 2], [3654, 4], [3655, 0], [3655, 4], [3656, 2], [3576, 0], [3576, 2], [3496, 4], [3497, 0], [3497, 2], [3417, 0], [3417, 2], [3337, 2], [3257, 4], [3258, 0], [3258, 2], [3178, 4], [3179, 0], [3179, 3], [3178, 3], [3177, 2], [3097, 0], [3097, 3], [3096, 2], [3016, 3], [3015, 3], [3014, 2], [2934, 0], [2934, 3], [2933, 2], [2853, 3], [2852, 0], [2852, 2], [2772, 3], [2771, 2], [2691, 3], [2690, 0], [2690, 3], [2689, 3], [2688, 2], [2608, 0], [2608, 3], [2607, 2], [2527, 0], [2527, 3], [2526, 2], [2446, 0], [2446, 3], [2445, 3], [2444, 2], [2364, 0], [2364, 3], [2363, 2], [2283, 2], [2203, 3], [2202, 0], [2202, 2], [2122, 3], [2121, 3], [2120, 3], [2119, 2], [2039, 0], [2039, 3]]",2
"7.6-36,161,96,62,65,247+2","[[2038, 2], [1958, 4], [1959, 2], [1879, 0], [1879, 4], [1880, 2], [1800, 0], [1800, 2], [1720, 2], [1640, 4]]",2
"7.6-36,161,96,62,65,247+3","[[1641, 1], [1721, 1], [1801, 3], [1800, 0], [1800, 3], [1799, 1], [1879, 0], [1879, 1], [1959, 3], [1958, 1]]",2
"7.6-36,161,96,62,65,247+4","[[2038, 2], [1958, 2], [1878, 4], [1879, 0], [1879, 2], [1799, 4], [1800, 0], [1800, 4], [1801, 1], [1881, 4], [1882, 0], [1882, 4], [1883, 4], [1884, 0], [1884, 1], [1964, 4], [1965, 4], [1966, 1], [2046, 0], [2046, 4], [2047, 4], [2048, 0], [2048, 1], [2128, 0], [2128, 4], [2129, 1], [2209, 0], [2209, 4], [2210, 1], [2290, 4], [2291, 0], [2291, 4], [2292, 0], [2292, 4], [2293, 0], [2293, 4], [2294, 0], [2294, 4], [2295, 1], [2375, 0]]",2
"7.6-36,161,96,62,65,247+5","[[2375, 0], [2375, 3], [2374, 2], [2294, 0], [2294, 3], [2293, 0], [2293, 3], [2292, 0], [2292, 1], [2372, 3], [2371, 0], [2371, 1], [2451, 0], [2451, 3], [2450, 1], [2530, 0], [2530, 3], [2529, 3], [2528, 1], [2608, 0], [2608, 3], [2607, 2]]",2
"7.6-36,161,96,62,65,247+6","[[2527, 4], [2528, 1], [2608, 0], [2608, 4], [2609, 1], [2689, 4], [2690, 0], [2690, 4], [2691, 1], [2771, 4], [2772, 1], [2852, 0], [2852, 4], [2853, 1], [2933, 4], [2934, 0], [2934, 4], [2935, 1], [3015, 4], [3016, 4], [3017, 1]]",2
"7.6-36,161,96,62,65,247+7","[[3097, 2], [3017, 3], [3016, 3], [3015, 3], [3014, 2], [2934, 0], [2934, 3], [2933, 2], [2853, 3], [2852, 0], [2852, 3], [2851, 2], [2771, 2], [2691, 3], [2690, 0], [2690, 3], [2689, 2], [2609, 3], [2608, 0], [2608, 3], [2607, 2]]",2
"7.6-24,208,197,242,97,13+1","[[4222, 1], [4302, 3], [4301, 0], [4301, 1], [4381, 3], [4380, 0], [4380, 3], [4379, 3], [4378, 1], [4458, 0], [4458, 3], [4457, 0], [4457, 1], [4537, 3], [4536, 0], [4536, 3], [4535, 0], [4535, 3], [4534, 0], [4534, 3], [4533, 0], [4533, 3], [4532, 0], [4532, 0], [4532, 2], [4452, 2], [4372, 0], [4372, 3]]",2
