path,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
101->105,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,287.395:193.229,273.541:183.542,263.170:177.010,253.540:169.247,244.948:162.321,239.844:158.207,233.022:153.415,222.971:147.010,213.369:138.991,197.616:127.354,194.916:125.425,185.207:118.610,172.199:111.308,155.794:103.027,142.814:97.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->120,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,287.395:193.229,294.046:186.564,298.542:180.289,295.606:173.922,293.252:166.883,292.512:160.225,289.702:155.541,284.986:152.808,279.519:149.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->20601,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,287.395:193.229,294.046:186.564,298.542:180.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->21444,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,287.395:193.229,273.541:183.542,263.170:177.010,253.540:169.247,244.948:162.321,250.837:157.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->22,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,287.395:193.229,273.541:183.542,263.170:177.010,253.540:169.247,244.948:162.321,239.844:158.207,233.022:153.415,222.971:147.010,213.369:138.991,216.992:130.220,221.105:119.973,211.572:116.147,202.551:111.363,205.899:103.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->22615,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,277.165:234.213,280.995:236.462,284.216:236.645,290.842:240.474,294.611:242.967,298.441:243.818,295.444:246.775,293.130:249.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->2344,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,287.395:193.229,273.541:183.542,263.170:177.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->2505,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,283.721:215.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->26858,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,309.789:205.728,323.589:208.748,335.464:209.478,341.921:209.634,347.233:210.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->32,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,287.395:193.229,273.541:183.542,266.015:190.376,259.506:196.964,253.235:196.647,247.361:193.392,240.376:190.296,239.106:185.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
