wifi,X,Y,parents,ID,restored_x,restored_y
66,13.949,16.375,N,N,13.948792,16.375364
96,62.374,59.313,N,N,62.373878,59.31299
105,142.814,97.329,N,N,142.813712,97.329134
33,194.916,125.425,N,N,194.916052,125.424975
99,239.844,158.207,N,N,239.844309,158.206684
5,287.395,193.229,N,N,287.394523,193.228916
95,323.59,208.748,N,N,323.5895,208.748489
88,376.773,212.234,N,N,376.772586,212.234033
19,102.488,48.308,N,N,102.487635,48.307526
22,205.899,103.487,N,N,205.898654,103.486856
120,279.519,149.801,N,N,279.5192,149.800834
67,370.983,159.94,N,N,370.982585,159.940167
92,381.397,63.134,N,N,381.396941,63.133526
49,310.951,262.358,N,N,310.950798,262.358424
101,257.355,270.201,N,N,257.355128,270.201074
84,254.126,241.349,N,N,254.126223,241.34925
4,276.312,228.59,N,N,276.311922,228.58987
32,239.106,185.931,N,N,239.105846,185.930734
13,399.251,216.457,N,N,399.250741,216.457314
40516,264.0,156.0,22:95,1_virtual,256.200862,151.74229
41941,246.0,148.0,5:22,1_virtual,248.337786,138.117243
16442,305.0,200.0,5:95,1_virtual,299.242245,195.277785
55554,272.0,168.0,5:22:95,1_virtual,263.170432,177.010396
27617,290.0,239.0,101:95,1_virtual,290.842493,240.474494
54110,332.0,202.0,88:5,1_virtual,339.156466,200.381842
14116,308.0,185.0,88:99,1_virtual,304.94565,184.788307
59289,319.0,187.0,99:13,1_virtual,306.077556,181.726417
10197,222.0,130.0,99:22,1_virtual,216.991779,130.219811
52173,283.0,186.0,99:5:95,1_virtual,287.394523,193.228916
80285,343.0,204.0,13:5,1_virtual,342.238159,205.594444
95695,350.0,210.0,88:95,1_virtual,347.233413,210.050467
63749,361.0,212.0,13:95,1_virtual,362.971623,211.452847
58352,388.0,214.0,88:13,1_virtual,389.688204,214.525514
56470,302.0,159.0,13:22,1_virtual,292.511771,160.224882
70481,291.0,157.0,88:22,1_virtual,289.701592,155.541243
62237,317.0,241.0,88:101,1_virtual,318.76181,234.17121
58238,248.0,214.0,99:101,1_virtual,255.016972,208.227254
43007,270.0,217.0,84:5,1_virtual,269.603088,216.159457
80777,315.0,226.0,88:84,1_virtual,313.670121,231.954107
13719,258.0,182.0,49:22,1_virtual,263.170432,177.010396
70591,317.0,235.0,49:95,1_virtual,318.76181,234.17121
89661,259.0,167.0,33:95,1_virtual,253.54014,169.247201
31646,200.0,114.0,33:22,1_virtual,202.551192,111.362838
60067,263.0,175.0,99:5,1_virtual,263.170432,177.010396
37582,313.0,193.0,88:99:95,1_virtual,302.353193,188.696934
2080,272.0,231.0,5:101,1_virtual,272.978859,230.360559
45414,231.0,186.0,101:22,1_virtual,227.235674,189.679284
98213,288.0,225.0,84:95,1_virtual,281.103199,222.600773
47468,246.0,199.0,99:84,1_virtual,246.268762,200.090895
13148,299.0,227.0,49:5,1_virtual,301.552546,226.93547
78744,275.0,210.0,49:99,1_virtual,273.744884,211.031755
27386,281.0,183.0,99:95,1_virtual,273.541481,183.542203
7033,217.0,141.0,33:99,1_virtual,213.368771,138.99126
23286,242.0,126.0,120:22,1_virtual,241.498669,125.513793
42320,259.0,154.0,120:99,1_virtual,256.200862,151.74229
74000,239.0,172.0,32:99,1_virtual,233.787602,176.484897
99485,259.0,167.0,120:32,1_virtual,253.54014,169.247201
38302,307.0,199.0,32:88,1_virtual,309.788537,205.727901
22899,244.0,160.0,32:5:22,1_virtual,244.948061,162.320933
37114,281.0,197.0,32:95,1_virtual,287.394523,193.228916
33673,282.0,251.0,49:84,1_virtual,284.759421,248.20271
20032,366.0,212.0,88:13:95,1_virtual,362.971623,211.452847
87962,274.0,157.0,88:99:22,1_virtual,279.5192,149.800834
80261,248.0,228.0,32:101,1_virtual,259.282055,236.453814
8789,241.0,159.0,33:5,1_virtual,239.844309,158.206684
16706,302.0,174.0,88:22:95,1_virtual,302.782344,177.268189
64184,249.0,179.0,84:5:22,1_virtual,253.54014,169.247201
87028,222.0,144.0,32:22,1_virtual,222.970679,147.009677
54549,307.0,225.0,88:101:5,1_virtual,303.034402,224.469712
80781,285.0,185.0,88:32:99,1_virtual,287.394523,193.228916
52711,278.0,240.0,84:101:95,1_virtual,280.994605,236.462391
99396,263.0,189.0,32:5,1_virtual,266.014574,190.375833
5149,279.0,204.0,49:99:5,1_virtual,273.744884,211.031755
21135,291.0,209.0,49:99:95,1_virtual,288.446353,211.872477
58286,307.0,221.0,49:5:95,1_virtual,303.034402,220.18588
30231,307.0,199.0,88:32,1_virtual,309.788537,205.727901
24217,267.0,184.0,32:99:95,1_virtual,266.014574,190.375833
9057,256.0,156.0,99:22:95,1_virtual,256.200862,151.74229
9271,313.0,202.0,88:32:95,1_virtual,309.788537,205.727901
55506,352.0,135.0,92:95,1_virtual,375.613182,149.886502
94371,329.0,204.0,88:5:95,1_virtual,323.5895,208.748489
66611,213.0,129.0,33:99:22,1_virtual,216.991779,130.219811
4697,230.0,172.0,84:22,1_virtual,229.198362,168.632237
45783,217.0,155.0,32:33,1_virtual,218.561262,155.067329
14868,343.0,237.0,88:49,1_virtual,342.283863,235.228159
42520,319.0,230.0,88:101:95,1_virtual,318.76181,234.17121
53486,261.0,216.0,32:5:101,1_virtual,261.914261,216.256375
33156,234.0,186.0,32:101:22,1_virtual,239.105846,185.930734
49070,343.0,204.0,5:13,1_virtual,342.238159,205.594444
84668,259.0,167.0,32:120,1_virtual,253.54014,169.247201
25143,237.0,137.0,120:33,1_virtual,242.392363,134.597826
21949,229.0,140.0,33:5:22,1_virtual,222.970679,147.009677
99551,246.0,213.0,32:84,1_virtual,255.016972,208.227254
89212,228.0,149.0,32:99:22,1_virtual,222.970679,147.009677
10257,280.0,195.0,88:101:22,1_virtual,287.394523,193.228916
76227,307.0,225.0,88:5:101,1_virtual,303.034402,224.469712
18889,260.0,197.0,99:84:5,1_virtual,259.505678,196.964106
88466,297.0,247.0,49:101:95,1_virtual,295.44438,246.774766
26379,283.0,195.0,32:5:95,1_virtual,287.394523,193.228916
87808,255.0,255.0,84:101,1_virtual,252.303455,260.983072
45849,168.0,111.0,33:105,1_virtual,172.199352,111.307596
11244,334.0,128.0,92:5,1_virtual,349.636582,164.698011
6210,346.0,162.0,49:92,1_virtual,349.636582,164.698011
16716,233.0,153.0,105:95,1_virtual,233.021946,153.415407
42704,174.0,100.0,105:22,1_virtual,172.199352,111.307596
90614,252.0,193.0,33:49,1_virtual,253.234912,196.646599
86379,285.0,241.0,49:5:101,1_virtual,284.216445,236.64476
81988,256.0,202.0,49:84:22,1_virtual,253.078613,204.7059
56713,301.0,197.0,32:88:5,1_virtual,299.242245,195.277785
58082,283.0,171.0,120:5,1_virtual,293.251576,166.883131
92033,301.0,179.0,120:95,1_virtual,302.782344,177.268189
42227,296.0,183.0,120:5:95,1_virtual,298.542306,180.289302
91142,268.0,167.0,120:99:5,1_virtual,263.170432,177.010396
65425,244.0,151.0,99:5:22,1_virtual,239.844309,158.206684
