wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
66,13.949,16.375,N,real,13.949,16.375,N,1
96,62.374,59.313,N,real,62.374,59.313,N,1
105,142.814,97.329,N,real,142.814,97.329,11893:,1
33,194.916,125.425,N,real,194.916,125.425,249:61943:26249:11063:,1
99,239.844,158.207,N,real,239.844,158.207,86261:79845:75551:17847:84304:32909:94923:78933:71324:30257:15550:88954:18469:82715:83994:59870:51402:36691:71252:119:63090:65926:68207:15550:,1
5,287.395,193.229,N,real,287.395,193.229,8668:39619:62954:48178:56828:25738:14362:17885:683:99596:21067:36355:7084:63100:28364:63191:84732:24746:61793:73756:50829:23074:1197:3452:78560:25552:60138:21045:67847:32529:16426:36298:73954:81888:11703:76635:85438:94240:,1
95,323.59,208.748,N,real,323.59,208.748,79448:53885:41484:7882:66309:70527:68352:9981:83917:90554:73965:94370:39074:28207:81670:90672:91945:62749:,1
88,376.773,212.234,N,real,376.773,212.234,54450:,1
19,102.488,48.308,N,real,102.488,48.308,N,1
22,205.899,103.487,N,real,205.899,103.487,N,1
120,279.519,149.801,N,real,279.519,149.801,59343:89097:69595:3345:87046:91587:2920:91011:65042:8114:26654:26790:78525:58685:70642:,1
67,370.983,159.94,N,real,370.983,159.94,N,1
92,381.397,63.134,N,real,381.397,63.134,N,1
49,310.951,262.358,N,real,310.951,262.358,N,1
101,257.355,270.201,N,real,257.355,270.201,N,1
84,254.126,241.349,N,real,254.126,241.349,N,1
4,276.312,228.59,N,real,276.312,228.59,59496:,1
32,239.106,185.931,N,real,239.106,185.931,78445:46886:36152:24458:67438:,1
13,399.251,216.457,N,real,399.251,216.457,N,1
56528,272.0,168.0,5:22:95,virtual,263.17,177.01,43861:89336:55296:30170:58231:78785:38839:28510:61581:8649:85535:55318:98362:25540:8444:80036:97101:78304:32378:51320:58031:3509:28510:45995:58582:19897:47807:87748:56835:3909:5560:77427:44480:95691:47184:82110:5443:21259:25139:53674:58848:95686:27925:83125:29204:33163:1227:25500:35934:96036:76442:83743:83144:1087:62837:98554:22042:74525:67821:93742:41888:63895:18173:8196:80959:88603:89967:82388:21877:1818:12497:65979:498:82939:7974:52600:63993:40527:96355:6017:81267:94982:70630:20399:63187:94714:32954:10090:,1
68146,272.0,231.0,101:5,virtual,272.979,230.361,N,1
21019,290.0,239.0,101:95,virtual,290.842,240.474,N,1
7513,272.0,202.0,99:84:95,virtual,268.562,205.911,39799:52895:68177:90346:74183:55862:64902:,1
38646,248.0,214.0,99:101,virtual,255.017,208.227,93099:19076:43529:,1
19605,317.0,241.0,88:101,virtual,318.762,234.171,61809:78541:29326:96543:35929:,1
58941,270.0,217.0,84:5,virtual,269.603,216.159,46515:5263:,1
53791,315.0,226.0,88:84,virtual,313.67,231.954,N,1
84561,259.0,167.0,33:95,virtual,253.54,169.247,76704:75584:99800:34936:88757:13658:33362:6650:40303:88593:45086:97991:83265:66040:58079:16759:2774:73788:73565:26001:81967:26345:26024:58911:95624:47823:90391:38715:21056:32561:93811:43161:58724:34871:73251:54233:78291:15383:18646:86572:71096:60497:2519:20391:94007:32561:50727:5008:81522:13662:23366:63882:42254:63408:48167:42056:44006:91523:2540:,1
94758,200.0,114.0,33:22,virtual,202.551,111.363,74141:,1
77713,281.0,159.0,99:13:22,virtual,284.986,152.808,9753:60915:53868:87650:57089:84119:88613:56025:54056:,1
6970,299.0,227.0,49:5,virtual,301.553,226.935,25965:58196:,1
79368,241.0,137.0,120:99:22,virtual,242.392,134.598,32029:24856:80498:97100:13552:40101:36385:62227:84864:49857:7373:90273:74087:78585:1340:65903:7707:68718:27398:13408:65002:88548:36577:65124:83308:,1
