wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
66,13.949,16.375,N,N,13.948792,16.375364,N,1
96,62.374,59.313,N,N,62.373878,59.31299,N,1
105,142.814,97.329,N,N,142.813712,97.329134,N,1
33,194.916,125.425,N,N,194.916052,125.424975,36007:39363:68885:10120:21066:49714:,1
99,239.844,158.207,N,N,239.844309,158.206684,8789:65425:66968:14457:84968:72303:82871:80587:32298:59358:50666:95825:38843:93366:11672:17039:89491:87495:35269:87997:96011:7130:99822:89009:21964:29525:50635:42336:12762:80767:50470:85939:75620:12762:70435:63571:42913:,1
5,287.395,193.229,N,N,287.394523,193.228916,52173:37114:80781:10257:26379:74327:32712:99364:71080:54442:45979:85961:77286:46283:65936:28565:36592:11334:51083:84480:93215:65572:24365:3994:65120:23810:30185:46656:21226:36426:80618:86432:47748:17201:99646:40054:70497:69914:60734:10183:49875:,1
95,323.59,208.748,N,N,323.5895,208.748489,94371:67276:86609:85900:97081:76000:46680:51712:61079:5873:81469:81107:66317:22495:90601:84696:75906:10412:63439:35739:18751:54934:52286:21546:51712:87403:76260:95306:46615:79500:95798:7930:30047:20466:90663:59727:84898:7979:87438:63644:6433:60989:2641:68202:,1
88,376.773,212.234,N,N,376.772586,212.234033,20197:63399:42953:,1
19,102.488,48.308,N,N,102.487635,48.307526,N,1
22,205.899,103.487,N,N,205.898654,103.486856,N,1
120,279.519,149.801,N,N,279.5192,149.800834,87962:82027:99220:76243:41939:27160:58782:23163:78484:43826:83695:48762:97925:54293:28591:69604:53888:55314:,1
67,370.983,159.94,N,N,370.982585,159.940167,N,1
92,381.397,63.134,N,N,381.396941,63.133526,N,1
49,310.951,262.358,N,N,310.950798,262.358424,N,1
101,257.355,270.201,N,N,257.355128,270.201074,N,1
84,254.126,241.349,N,N,254.126223,241.34925,N,1
4,276.312,228.59,N,N,276.311922,228.58987,35271:69845:59351:19333:95108:36612:,1
32,239.106,185.931,N,N,239.105846,185.930734,33156:23355:20799:67302:47674:57082:,1
13,399.251,216.457,N,N,399.250741,216.457314,N,1
40516,264.0,156.0,22:95,1_virtual,256.200862,151.74229,42320:9057:1706:80693:30962:55906:96377:26062:35578:53396:32615:40964:66905:23023:23419:40990:60802:83453:86437:75510:30453:55135:60368:64219:64123:96485:72617:48523:14346:59649:31771:10698:2189:,1
41941,246.0,148.0,5:22,1_virtual,248.337786,138.117243,88630:66853:63835:31463:65833:3243:8989:48880:53825:46482:66352:5956:9032:33484:78694:71934:27349:69669:72041:93848:85209:16800:42999:,1
16442,305.0,200.0,5:95,1_virtual,299.242245,195.277785,56713:7985:36698:91176:81488:64732:38073:42173:85621:11420:83451:67735:38246:17981:,1
