wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
66,13.949,16.375,N,N,13.948792,16.375364,N,1
96,62.374,59.313,N,N,62.373878,59.31299,N,1
105,142.814,97.329,N,N,142.813712,97.329134,67524:54872:,1
33,194.916,125.425,N,N,194.916052,125.424975,43677:76562:26532:41318:16505:30053:22491:56059:91587:86766:24092:84701:98631:62482:80306:79988:72501:64528:44852:22006:,1
99,239.844,158.207,N,N,239.844309,158.206684,99062:10321:81126:42740:13461:10312:52311:71985:55457:54979:75701:77391:69082:80326:98347:56867:7607:7665:30125:27310:42864:2895:50690:44342:37419:28303:88877:30084:89068:98287:81336:22088:16241:84462:80814:20075:87180:58009:4628:78501:43623:9417:29087:27961:37990:28448:21205:37990:7897:55591:28208:60341:85664:48992:63273:34363:81412:83172:57385:81129:99828:11378:14629:68687:94115:40001:7246:17474:,1
5,287.395,193.229,N,N,287.394523,193.228916,25145:38638:2093:12065:77738:38337:50102:65614:84866:95557:24512:97256:26861:58692:68463:11752:1353:87010:30961:18208:99346:81986:71766:37271:81329:32454:69790:48612:47180:36666:52533:13556:65775:85178:23176:93624:76824:62173:9059:20840:94769:96091:46173:24266:73484:36675:97650:2788:8210:59019:45874:94704:18442:59026:24630:25945:22756:,1
95,323.59,208.748,N,N,323.5895,208.748489,39006:73823:44047:48812:49795:56560:67444:59202:66497:4465:77086:3558:99836:76492:20333:75669:56679:35252:23064:94637:76636:10984:15859:58906:83577:70552:17689:28788:59052:76739:77532:4319:72318:6737:79127:98958:81730:75392:7746:54040:5207:26993:12187:18977:67829:75315:20308:21424:28481:49547:27528:14659:18118:28788:,1
88,376.773,212.234,N,N,376.772586,212.234033,58086:48962:3069:22447:49497:,1
19,102.488,48.308,N,N,102.487635,48.307526,N,1
22,205.899,103.487,N,N,205.898654,103.486856,N,1
120,279.519,149.801,N,N,279.5192,149.800834,69761:99358:89237:59068:15623:63281:37587:88243:27599:70041:11209:83369:91925:43676:67158:98111:10889:81696:77946:36355:61317:81867:22578:40821:71681:60397:6990:68119:88323:61780:48500:5871:52780:74810:17231:31820:16338:51456:97086:,1
67,370.983,159.94,N,N,370.982585,159.940167,N,1
92,381.397,63.134,N,N,381.396941,63.133526,N,1
49,310.951,262.358,N,N,310.950798,262.358424,N,1
101,257.355,270.201,N,N,257.355128,270.201074,N,1
84,254.126,241.349,N,N,254.126223,241.34925,65971:,1
4,276.312,228.59,N,N,276.311922,228.58987,2076:48902:42424:36991:9691:95245:,1
32,239.106,185.931,N,N,239.105846,185.930734,11105:78902:94170:66462:64881:98618:35800:,1
13,399.251,216.457,N,N,399.250741,216.457314,N,1
72974,264.0,156.0,22:95,1_virtual,256.200862,151.74229,70233:81515:37128:57354:69143:89518:64620:45223:32456:93354:63422:98544:69229:17140:42660:4899:6168:25167:68298:21920:47506:51935:41248:80751:59374:95250:51935:46993:75578:89190:9965:88375:91442:20155:59374:6780:79613:21933:29847:51102:66215:78859:44843:76837:79429:82057:36382:43858:44118:76766:36596:30309:37209:24942:74436:64630:6974:72786:80904:4691:36683:41826:78904:,1
