wifi_a,wifi_b,count,distance,meanTime,maxSpeed
22.0,88.0,1.0,202.54,14628.0,0.01384604867377632
88.0,99.0,1.0,147.2,7548.0,0.019501854795972443
99.0,22.0,1.0,64.39,212.0,0.3037264150943396
22.0,95.0,41.0,157.9,4.146341463414634,315.8
95.0,101.0,14.0,90.35,6.357142857142857,15.058333333333332
101.0,22.0,8.0,174.47,3.0,58.156666666666666
95.0,5.0,25.0,39.38,6.52,9.845
5.0,101.0,14.0,82.63,0.5,165.26
5.0,22.0,27.0,121.22,2.2962962962962963,60.61
22.0,88.0,1.0,202.54,14628.0,0.01384604867377632
88.0,95.0,1.0,53.3,10556.0,0.005049261083743842
95.0,13.0,2.0,76.05,6.5,15.209999999999999
95.0,5.0,2.0,39.38,6.5,6.5633333333333335
22.0,95.0,8.0,157.9,10.0,52.63333333333333
95.0,5.0,12.0,39.38,17.25,6.5633333333333335
5.0,22.0,2.0,121.22,20.0,11.02
5.0,49.0,3.0,73.03,20.0,3.6515
49.0,22.0,3.0,190.46,8.0,23.8075
95.0,88.0,25.0,53.3,22.36,106.6
95.0,5.0,49.0,39.38,33.97959183673469,7.876
5.0,99.0,19.0,59.06,5.2631578947368425,59.06
5.0,33.0,3.0,114.67,10.0,28.6675
33.0,99.0,7.0,55.62,6.714285714285714,9.27
99.0,120.0,2.0,40.56,2.0,20.28
120.0,33.0,1.0,88.04,265.0,0.33222641509433964
33.0,22.0,8.0,24.53,0.0,49.06
22.0,99.0,3.0,64.39,15.333333333333334,10.731666666666667
22.0,95.0,2.0,157.9,3.5,52.63333333333333
95.0,99.0,15.0,97.82,4.0,32.60666666666666
120.0,5.0,2.0,44.14,0.0,88.28
5.0,22.0,4.0,121.22,4.0,30.305
33.0,95.0,3.0,153.3,3.0,51.1
120.0,22.0,1.0,86.98,4.0,21.745
99.0,32.0,3.0,27.73,32.333333333333336,1.8486666666666667
32.0,33.0,1.0,74.92,4.0,18.73
32.0,22.0,3.0,88.88,4.0,22.22
22.0,88.0,2.0,202.54,4.0,50.635
5.0,49.0,13.0,73.03,4.615384615384615,24.343333333333334
49.0,22.0,1.0,190.46,0.0,380.92
88.0,99.0,6.0,147.2,4.166666666666667,49.06666666666666
99.0,13.0,7.0,169.72,0.8571428571428571,339.44
13.0,5.0,14.0,114.24,1.0714285714285714,114.24
5.0,32.0,1.0,48.84,0.0,97.68
5.0,88.0,5.0,91.38,6.6,30.459999999999997
95.0,13.0,3.0,76.05,4.666666666666667,19.0125
33.0,13.0,1.0,223.7,1831.0,0.12217367558711086
49.0,88.0,2.0,82.73,4.0,20.6825
13.0,49.0,1.0,99.52,4.0,24.88
49.0,95.0,11.0,55.08,4.454545454545454,18.36
88.0,92.0,2.0,149.17,1.0,149.17
92.0,13.0,2.0,154.36,4.0,38.59
95.0,5.0,873.0,39.38,54.312714776632305,19.69
95.0,13.0,221.0,76.05,5.728506787330317,76.05
5.0,22.0,499.0,121.22,3.2645290581162323,121.22
22.0,95.0,1161.0,157.9,4.7984496124031,315.8
22.0,13.0,77.0,223.94,2.4545454545454546,447.88
5.0,13.0,231.0,114.24,1.2164502164502164,228.48
5.0,88.0,321.0,91.38,6.607476635514018,182.76
88.0,13.0,36.0,22.87,4.666666666666667,22.87
95.0,88.0,522.0,53.3,2.7375478927203063,106.6
88.0,22.0,77.0,202.54,6.857142857142857,202.54
22.0,49.0,11.0,190.46,3.1818181818181817,380.92
49.0,95.0,11.0,55.08,0.5454545454545454,110.16
95.0,99.0,12.0,97.82,4.166666666666667,48.91
99.0,5.0,7.0,59.06,2.0,59.06
22.0,99.0,1.0,64.39,5.0,12.878
99.0,13.0,4.0,169.72,3.0,56.57333333333333
49.0,5.0,1.0,73.03,8.0,9.12875
13.0,49.0,1.0,99.52,4.0,24.88
95.0,49.0,13.0,55.08,13.76923076923077,110.16
95.0,5.0,80.0,39.38,121.8625,13.126666666666667
95.0,88.0,20.0,53.3,75.05,53.3
88.0,5.0,1.0,91.38,5.0,18.276
49.0,5.0,2.0,73.03,17.5,36.515
49.0,99.0,1.0,126.11,4.0,31.5275
99.0,5.0,1.0,59.06,3.0,19.686666666666667
95.0,92.0,3.0,156.67,8.666666666666666,313.34
92.0,49.0,1.0,211.31,907.0,0.23297684674751928
88.0,49.0,1.0,82.73,8.0,10.34125
95.0,5.0,1818.0,39.38,29.757425742574256,39.38
5.0,99.0,978.0,59.06,3.5081799591002043,118.12
95.0,99.0,931.0,97.82,4.673469387755102,97.82
5.0,22.0,149.0,121.22,3.6778523489932886,121.22
22.0,95.0,163.0,157.9,4.171779141104294,315.8
95.0,88.0,78.0,53.3,2.282051282051282,106.6
88.0,99.0,45.0,147.2,3.3333333333333335,147.2
88.0,5.0,50.0,91.38,6.76,91.38
95.0,13.0,72.0,76.05,6.027777777777778,19.0125
5.0,13.0,81.0,114.24,1.9259259259259258,228.48
22.0,99.0,28.0,64.39,6.892857142857143,12.878
99.0,13.0,36.0,169.72,3.5833333333333335,339.44
13.0,22.0,4.0,223.94,3.5,111.97
88.0,13.0,3.0,22.87,3.0,11.435
95.0,5.0,91.0,39.38,703.054945054945,7.876
95.0,88.0,21.0,53.3,99.14285714285714,106.6
95.0,49.0,8.0,55.08,7.5,55.08
5.0,49.0,2.0,73.03,3.5,24.343333333333334
88.0,5.0,1.0,91.38,5.0,18.276
95.0,5.0,639.0,39.38,6.420970266040689,39.38
5.0,22.0,1578.0,121.22,7.88403041825095,121.22
22.0,95.0,1574.0,157.9,25.198221092757308,315.8
5.0,101.0,191.0,82.63,1.9005235602094241,165.26
101.0,22.0,153.0,174.47,1.7516339869281046,348.94
95.0,101.0,105.0,90.35,2.3333333333333335,180.7
22.0,33.0,17.0,24.53,1.411764705882353,49.06
33.0,95.0,24.0,153.3,1.75,306.6
5.0,13.0,35.0,114.24,1.1142857142857143,228.48
13.0,22.0,21.0,223.94,2.142857142857143,223.94
101.0,13.0,5.0,151.73,1.0,303.46
13.0,95.0,9.0,76.05,5.222222222222222,76.05
95.0,99.0,883.0,97.82,3.7916194790486974,97.82
99.0,5.0,1305.0,59.06,2.6704980842911876,118.12
5.0,33.0,5.0,114.67,4.4,28.6675
5.0,84.0,32.0,58.5,4.21875,29.25
84.0,22.0,5.0,146.05,4.0,292.1
95.0,84.0,92.0,76.73,1.7608695652173914,76.73
84.0,99.0,65.0,84.36,2.169230769230769,84.36
101.0,84.0,3.0,29.03,3.6666666666666665,29.03
