wifi,X,Y,parents,ID,restored_x,restored_y
66,13.949,16.375,N,N,-1,-1
96,62.374,59.313,N,N,-1,-1
105,142.814,97.329,N,N,-1,-1
33,194.916,125.425,N,N,-1,-1
99,239.844,158.207,N,N,-1,-1
5,287.395,193.229,N,N,-1,-1
95,323.59,208.748,N,N,-1,-1
88,376.773,212.234,N,N,-1,-1
19,102.488,48.308,N,N,-1,-1
22,205.899,103.487,N,N,-1,-1
120,279.519,149.801,N,N,-1,-1
67,370.983,159.94,N,N,-1,-1
92,381.397,63.134,N,N,-1,-1
49,310.951,262.358,N,N,-1,-1
101,257.355,270.201,N,N,-1,-1
84,254.126,241.349,N,N,-1,-1
4,276.312,228.59,N,N,-1,-1
32,239.106,185.931,N,N,-1,-1
13,399.251,216.457,N,N,-1,-1
40516,264.0,156.0,22:95,1_virtual,-1,-1
41941,246.0,148.0,5:22,1_virtual,-1,-1
16442,305.0,200.0,5:95,1_virtual,-1,-1
55554,272.0,168.0,5:22:95,1_virtual,-1,-1
27617,290.0,239.0,101:95,1_virtual,-1,-1
54110,332.0,202.0,88:5,1_virtual,-1,-1
14116,308.0,185.0,88:99,1_virtual,-1,-1
59289,319.0,187.0,99:13,1_virtual,-1,-1
10197,222.0,130.0,99:22,1_virtual,-1,-1
52173,283.0,186.0,99:5:95,1_virtual,-1,-1
80285,343.0,204.0,13:5,1_virtual,-1,-1
95695,350.0,210.0,88:95,1_virtual,-1,-1
63749,361.0,212.0,13:95,1_virtual,-1,-1
58352,388.0,214.0,88:13,1_virtual,-1,-1
56470,302.0,159.0,13:22,1_virtual,-1,-1
70481,291.0,157.0,88:22,1_virtual,-1,-1
62237,317.0,241.0,88:101,1_virtual,-1,-1
58238,248.0,214.0,99:101,1_virtual,-1,-1
43007,270.0,217.0,84:5,1_virtual,-1,-1
80777,315.0,226.0,88:84,1_virtual,-1,-1
13719,258.0,182.0,49:22,1_virtual,-1,-1
70591,317.0,235.0,49:95,1_virtual,-1,-1
89661,259.0,167.0,33:95,1_virtual,-1,-1
31646,200.0,114.0,33:22,1_virtual,-1,-1
60067,263.0,175.0,99:5,1_virtual,-1,-1
37582,313.0,193.0,88:99:95,1_virtual,-1,-1
2080,272.0,231.0,5:101,1_virtual,-1,-1
45414,231.0,186.0,101:22,1_virtual,-1,-1
98213,288.0,225.0,84:95,1_virtual,-1,-1
47468,246.0,199.0,99:84,1_virtual,-1,-1
13148,299.0,227.0,49:5,1_virtual,-1,-1
78744,275.0,210.0,49:99,1_virtual,-1,-1
27386,281.0,183.0,99:95,1_virtual,-1,-1
7033,217.0,141.0,33:99,1_virtual,-1,-1
23286,242.0,126.0,120:22,1_virtual,-1,-1
42320,259.0,154.0,120:99,1_virtual,-1,-1
74000,239.0,172.0,32:99,1_virtual,-1,-1
99485,259.0,167.0,120:32,1_virtual,-1,-1
