m,trajs
"7.5-48,74,38,155,214,98+1","[[1641, 1], [1721, 1], [1801, 3], [1800, 0], [1800, 3], [1799, 1], [1879, 0], [1879, 1], [1959, 1], [2039, 3], [2038, 0], [2038, 4], [2039, 0], [2039, 4], [2040, 1], [2120, 4], [2121, 4], [2122, 1], [2202, 0], [2202, 1], [2282, 4], [2283, 4], [2284, 1], [2364, 0], [2364, 4], [2365, 1], [2445, 4], [2446, 0], [2446, 4], [2447, 1], [2527, 0], [2527, 1], [2607, 4], [2608, 0], [2608, 4], [2609, 1], [2689, 4], [2690, 0], [2690, 4], [2691, 1], [2771, 1], [2851, 4], [2852, 0], [2852, 4], [2853, 4], [2854, 1], [2934, 0], [2934, 1], [3014, 4], [3015, 4], [3016, 1], [3096, 4], [3097, 0], [3097, 4], [3098, 4], [3099, 1], [3179, 0], [3179, 4], [3180, 1], [3260, 4], [3261, 1], [3341, 0], [3341, 4], [3342, 4], [3343, 4], [3344, 0], [3344, 4], [3345, 4], [3346, 4], [3347, 0], [3347, 4], [3348, 0], [3348, 4], [3349, 1], [3429, 0], [3429, 4], [3430, 4], [3431, 4], [3432, 0], [3432, 4], [3433, 4], [3434, 4]]"
"7.5-48,74,38,155,214,98+2","[[3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 0], [3435, 3], [3434, 3], [3433, 3], [3432, 0], [3432, 3], [3431, 3], [3430, 3], [3429, 0], [3429, 3], [3428, 2], [3348, 0], [3348, 3], [3347, 0], [3347, 3], [3346, 3], [3345, 3], [3344, 0], [3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 2], [3261, 3], [3260, 2], [3180, 3], [3179, 0], [3179, 3], [3178, 2], [3098, 3], [3097, 0], [3097, 2], [3017, 3], [3016, 3], [3015, 2], [2935, 3], [2934, 0], [2934, 3], [2933, 3], [2932, 2], [2852, 0], [2852, 3], [2851, 2], [2771, 3], [2770, 2], [2690, 0], [2690, 3], [2689, 2], [2609, 3], [2608, 0], [2608, 3], [2607, 2]]"
"7.5-48,74,38,155,214,98+3",[]
"7.5-48,74,38,155,214,98+4","[[2451, 0]]"
"7.5-48,74,38,155,214,98+5","[[3493, 0], [3493, 0], [3493, 0], [3493, 0], [3493, 0]]"
"7.5-48,74,38,133,29,213+1","[[1641, 1], [1721, 3], [1720, 1], [1800, 0], [1800, 1], [1880, 3], [1879, 0], [1879, 1], [1959, 1], [2039, 3], [2038, 0], [2038, 4], [2039, 0], [2039, 1], [2119, 4], [2120, 4], [2121, 4], [2122, 1], [2202, 0], [2202, 1], [2282, 4], [2283, 4], [2284, 1], [2364, 0], [2364, 4], [2365, 4], [2366, 1], [2446, 0], [2446, 1], [2526, 4], [2527, 0], [2527, 4], [2528, 1], [2608, 0], [2608, 4], [2609, 4], [2610, 1], [2690, 0], [2690, 4], [2691, 1], [2771, 1], [2851, 4], [2852, 0], [2852, 4], [2853, 4], [2854, 1], [2934, 0], [2934, 1], [3014, 4], [3015, 4], [3016, 1], [3096, 4], [3097, 0], [3097, 4], [3098, 4], [3099, 1], [3179, 0], [3179, 1], [3259, 4], [3260, 1], [3340, 4], [3341, 0], [3341, 4], [3342, 4], [3343, 4], [3344, 0], [3344, 4], [3345, 4], [3346, 4], [3347, 0], [3347, 4], [3348, 0], [3348, 1], [3428, 4], [3429, 0], [3429, 4], [3430, 4], [3431, 4], [3432, 0], [3432, 4], [3433, 4], [3434, 4]]"
"7.5-48,74,38,133,29,213+2","[[3435, 3], [3434, 3], [3433, 3], [3432, 0], [3432, 3], [3431, 3], [3430, 3], [3429, 0], [3429, 2], [3349, 3], [3348, 0], [3348, 3], [3347, 0], [3347, 3], [3346, 3], [3345, 3]]"
"7.5-48,74,38,133,29,213+3","[[3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0]]"
"7.5-20,178,229,137,47,142+1","[[2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0], [2451, 0]]"
"7.5-20,178,229,137,47,142+2",[]
"7.5-20,178,229,137,47,142+3",[]
"7.5-20,178,229,137,47,142+4",[]
"7.5-20,178,229,137,47,142+5",[]
"7.5-20,178,229,137,47,142+6",[]
"7.5-20,178,229,137,47,142+7",[]
"7.6-204,129,42,183,42,73+1","[[3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0]]"
"7.6-204,129,42,183,42,73+2","[[3179, 0], [3179, 0], [3179, 0], [3179, 0]]"
